Used by,Component id,Version id,Origin id,Component name,Component version name,Component origin name,Component origin id,Component origin version name,Vulnerability id,Description,Published on,Updated on,Base score,Exploitability,Impact,Vulnerability source,Remediation status,Remediation target date,Remediation actual date,Remediation comment,URL,Security Risk,Project path,Overall score,CWE Ids,Solution available,Workaround available,Exploit available,CVSS Version,Match type,Reachable
,cac78fe8-6834-45e5-a1a3-e41d39a6c37e,e1b9890e-7e38-4ab5-9c21-5d26392a0c04,c0c6490d-b6cf-4778-a246-c3cc1d4993f7,@nestjs/core,7.6.15,npmjs,@nestjs/core/7.6.15,7.6.15,BDSA-2023-2976 (CVE-2023-26108),Nest contains an denial-of-service (DoS) vulnerability due to improper error handling. An attacker could exploit this by revoking a request while concurrently streaming a `StreamableFile` in order to cause a denial-of-service (DoS) condition or potentially gain access to sensitive information.,10/31/23,10/31/23,8.2,3.9,4.2,BDSA,NEW,4/11/24,4/8/24,[04/08/2024 09:32 UTC]  Syncing finding 104733938 for tool Blackduck Hub  [ https://qa.armorcode.ai/#/findings/449/2363/104733938 ] -By kunal19978@gmail.com ArmorCode Platform  [04/08/2024 09:12 UTC]  jkgvg  [ https://qa.armorcode.ai/#/findings/612/2688/104692253 ] -By priyansh.sharma@armorcode.io ArmorCode Platform  [11/30/2023 07:07 UTC]  tttt  [ https://qa.armorcode.ai/#/findings/369/2001/72247223 ] -By kunal.parmar@armorcode.io ArmorCode Platform  null  [ https://app.armorcode.com/#/findings/294/1629/264614638 ] -By Priyansh,https://nvd.nist.gov/vuln/detail/CVE-2023-26108,HIGH,broken-crystals 0.0.1,7.1,"[CWE-200, CWE-400]",true,false,false,CVSS 3.x,Transitive Dependency,false
,8d080f9e-677a-4203-b72d-1edf330e5a1c,39e0b995-cf35-4213-89e0-77f684912076,79f79df7-3872-4400-aab2-e08dfa018f52,ansi-regex,5.0.0,npmjs,ansi-regex/5.0.0,5.0.0,BDSA-2021-2904 (CVE-2021-3807),"ansi-regex is vulnerable to a regular expression denial-of-service (ReDoS) issue due to how certain crafted ANSI escaped codes are mishandled.  An attacker could submit a crafted string that, when matched, could cause excessive consumption of system resources that will impact stability and potentially cause a crash.",9/30/21,7/14/23,7.5,3.9,3.6,BDSA,IGNORED,,,[02/13/2024 13:30 UTC]  agasg  [ https://qa.armorcode.ai/#/findings/474/2382/86649010 ] -By kunal.parmar@armorcode.io ArmorCode Platform  Updated by runbook: scans Runbook  [ https://app.armorcode.com/#/findings/301/1479/176272181 ] -By ArmorCode Platform,https://nvd.nist.gov/vuln/detail/CVE-2021-3807,MEDIUM,broken-crystals 0.0.1,6.7,[CWE-400],true,false,true,CVSS 3.x,Transitive Dependency,false
,31b73ea8-4b41-43ed-8ada-1d680a5ad50d,8be9578d-775b-418e-9aee-0c5ab436c478,76110c93-bb8e-47b8-9ca6-c1bfdb96c26c,axios,0.21.1,npmjs,axios/0.21.1,0.21.1,BDSA-2021-2621 (CVE-2021-3749),Axios contains a denial-of-service (DoS) vulnerability. An attacker can exploit this using crafted regular expressions to exhaust system resources and cause a system crash.,8/31/21,5/5/22,5.3,3.9,1.4,BDSA,PATCHED,,,[01/31/2024 11:24 UTC]  Testing bulk status for non comment override. Resurface date as {2024-02-15T11:24:27.24Z}  [ https://app.armorcode.com//#/findings/449/2299/82759012 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [01/31/2024 08:17 UTC]  test review script by user   [ https://app.armorcode.com//#/findings/218/881/82759012 ] -By Yashwant Joshi ArmorCode Platform,https://nvd.nist.gov/vuln/detail/CVE-2021-3749,MEDIUM,broken-crystals 0.0.1,4.8,[CWE-400],true,false,true,CVSS 3.x,Transitive Dependency,false
,31b73ea8-4b41-43ed-8ada-1d680a5ad50d,8be9578d-775b-418e-9aee-0c5ab436c478,76110c93-bb8e-47b8-9ca6-c1bfdb96c26c,axios,0.21.1,npmjs,axios/0.21.1,0.21.1,BDSA-2023-2855,Axios contains a cross-site request forgery (CSRF) vulnerability due to insecure HTTP endpoint permission validation. An attacker could exploit this vulnerability by sending a crafted link to a victim to execute malicious actions on their behalf.,10/18/23,10/27/23,8.1,2.8,5.2,BDSA,IGNORED,,,[04/08/2024 09:28 UTC]  Syncing finding 104733412 for tool Blackduck Hub  [ https://qa.armorcode.ai/#/findings/449/2363/104733412 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [04/08/2024 09:27 UTC]  Syncing finding 104733412 for tool Blackduck Hub  [ https://qa.armorcode.ai/#/findings/449/2363/104733412 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [03/07/2024 08:40 UTC]  Open  [ https://qa.armorcode.ai/#/findings/452/2318/92261235 ] -By mubin.bagwan@armorcode.io ArmorCode Platform  [02/02/2024 03:41 UTC]  other  [ https://qa.armorcode.ai/#/findings/452/2318/82963219 ] -By mubin.bagwan@armorcode.io ArmorCode Platform  [02/01/2024 08:58 UTC]  Reopen  [ https://qa.armorcode.ai/#/findings/452/2318/82963219 ] -By mubin.bagwan@armorcode.io ArmorCode Platform  [12/06/2023 07:24 UTC]  111344  [ https://qa.armorcode.ai/#/findings/417/2179/73274300 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [12/06/2023 07:22 UTC]  test  [ https://qa.armorcode.ai/#/findings/417/2179/73274300 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [11/21/2023 14:43 UTC]  aefae  [ https://qa.armorcode.ai/#/findings/417/2247/70255483 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [11/21/2023 14:42 UTC]  asf  [ https://qa.armorcode.ai/#/findings/417/2247/70255483 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [10/20/2023 07:58 UTC]  testtt  [ https://qa.armorcode.ai/#/findings/394/2132/65911907 ] -By kunal.parmar@armorcode.io ArmorCode Platform,,HIGH,broken-crystals 0.0.1,7.1,[CWE-352],true,false,false,CVSS 3.x,Transitive Dependency,false
,31b73ea8-4b41-43ed-8ada-1d680a5ad50d,ea05085d-4398-47ba-9866-057977be96ab,c01ba59b-59e4-4b68-bde4-23f877ba1929,axios,0.21.2,npmjs,axios/0.21.2,0.21.2,BDSA-2021-2621,Axios contains a denial-of-service (DoS) vulnerability. An attacker can exploit this using crafted regular expressions to exhaust system resources and cause a system crash.,8/31/21,5/5/22,5.3,3.9,1.4,BDSA,PATCHED,,,[01/16/2024 17:31 UTC]  test  [ https://preprod.armorcode.ai/#/findings/231/1075/42081300 ] -By kunal.parmar@armorcode.io ArmorCode Platform  Updated by runbook: Untitled Runbook  [ https://app.armorcode.com/#/findings/294/1629/264614641 ] -By ArmorCode Platform,,MEDIUM,broken-crystals 0.0.1,4.8,[CWE-400],true,false,true,CVSS 3.x,Transitive Dependency,false
,31b73ea8-4b41-43ed-8ada-1d680a5ad50d,ea05085d-4398-47ba-9866-057977be96ab,c01ba59b-59e4-4b68-bde4-23f877ba1929,axios,0.21.2,npmjs,axios/0.21.2,0.21.2,BDSA-2023-2855,Axios contains a cross-site request forgery (CSRF) vulnerability due to insecure HTTP endpoint permission validation. An attacker could exploit this vulnerability by sending a crafted link to a victim to execute malicious actions on their behalf.,10/18/23,10/27/23,8.1,2.8,5.2,BDSA,IGNORED,,,[11/21/2023 13:37 UTC]  asf  [ https://qa.armorcode.ai/#/findings/417/2247/70255486 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [10/20/2023 07:58 UTC]  testtt  [ https://qa.armorcode.ai/#/findings/394/2132/65911910 ] -By kunal.parmar@armorcode.io ArmorCode Platform,,HIGH,broken-crystals 0.0.1,7.1,[CWE-352],true,false,false,CVSS 3.x,Transitive Dependency,false
,31b73ea8-4b41-43ed-8ada-1d680a5ad50d,a44c3ead-f452-4f04-9b53-8c9f9bd5192e,2eafaf5c-a29b-47fa-b871-b0ed128de584,axios,0.26.1,npmjs,axios/0.26.1,0.26.1,BDSA-2023-2855,Axios contains a cross-site request forgery (CSRF) vulnerability due to insecure HTTP endpoint permission validation. An attacker could exploit this vulnerability by sending a crafted link to a victim to execute malicious actions on their behalf.,10/18/23,10/27/23,8.1,2.8,5.2,BDSA,IGNORED,,,[02/01/2024 09:01 UTC]  re-open  [ https://qa.armorcode.ai/#/findings/452/2318/82963220 ] -By mubin.bagwan@armorcode.io ArmorCode Platform  [12/06/2023 07:23 UTC]  tet111tt1  [ https://qa.armorcode.ai/#/findings/417/2179/73274301 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [12/06/2023 07:22 UTC]  test  [ https://qa.armorcode.ai/#/findings/417/2179/73274301 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [11/21/2023 14:42 UTC]  asf  [ https://qa.armorcode.ai/#/findings/417/2247/70255484 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [10/20/2023 07:58 UTC]  testtt  [ https://qa.armorcode.ai/#/findings/394/2132/65911908 ] -By kunal.parmar@armorcode.io ArmorCode Platform,,HIGH,broken-crystals 0.0.1,7.1,[CWE-352],true,false,false,CVSS 3.x,Transitive Dependency,false
,bd2652a3-74ea-44a9-8889-f3e98aa4dfa0,7e8b0fce-1a41-4ead-a527-eb0c85772210,a9c6056f-d7cf-4f26-9281-fc7a1737f72a,babel-traverse,7.14.0,npmjs,@babel/traverse/7.14.0,7.14.0,BDSA-2023-2769 (CVE-2023-45133),"Babel Travserse is vulnerable to an arbitrary code execution issue due to how the `_evaluate()` function allows for the evaluation of inherited methods. This affects plugins that rely on the `path.evaluate()` or `path.evaluateTruthy()` internal Babel methods.  In cases where Babel is used to compile untrusted code, an attacker could potentially submit specially crafted code that, during compilation, could be evaluated and executed during the compilation process.",10/20/23,10/20/23,8.6,1.8,6.0,BDSA,IGNORED,,,[11/30/2023 09:55 UTC]  testtttttsssssss  [ http://localhost:9080/#/findings/442/2266/72268500 ] -By viram.shah@armorcode.io ArmorCode Platform  [11/30/2023 09:54 UTC]  testtttttsssssss  [ http://localhost:9080/#/findings/442/2266/72268587 ] -By viram.shah@armorcode.io ArmorCode Platform  [11/28/2023 13:52 UTC]  gs  [ https://qa.armorcode.ai/#/findings/299/1559/71966252 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [11/28/2023 13:46 UTC]  test  [ https://qa.armorcode.ai/#/findings/299/1559/71966252 ] -By kunal.parmar@armorcode.io ArmorCode Platform,https://nvd.nist.gov/vuln/detail/CVE-2023-45133,HIGH,broken-crystals 0.0.1,7.5,"[CWE-184, CWE-20]",true,true,false,CVSS 3.x,Transitive Dependency,false
,8b30cd95-e5b1-414b-9a22-f250f899b769,c958a3d6-3561-4fab-b810-dc0267ab64ae,b9c1783c-58c6-4b2d-8720-c59c4be67cf5,decode-uri-component,0.2.0,npmjs,decode-uri-component/0.2.0,0.2.0,CVE-2022-38778,"A flaw (CVE-2022-38900) was discovered in one of Kibana’s third party dependencies, that could allow an authenticated user to perform a request that crashes the Kibana server process.",2/8/23,2/16/23,6.5,2.8,3.6,NVD,NEEDS_REVIEW,4/10/23,4/10/23,[01/31/2024 11:24 UTC]  Testing bulk status for non comment override. Resurface date as {2024-02-15T11:24:27.24Z}  [ https://app.armorcode.com//#/findings/449/2299/82759019 ] -By kunal.parmar@armorcode.io ArmorCode Platform  [01/31/2024 08:17 UTC]  test review script by user   [ https://app.armorcode.com//#/findings/218/881/82759019 ] -By Yashwant Joshi ArmorCode Platform,https://nvd.nist.gov/vuln/detail/CVE-2022-38778,MEDIUM,broken-crystals 0.0.1,6.5,[CWE-20],false,false,false,CVSS 3.x,Transitive Dependency,false
,8b30cd95-e5b1-414b-9a22-f250f899b769,c958a3d6-3561-4fab-b810-dc0267ab64ae,b9c1783c-58c6-4b2d-8720-c59c4be67cf5,decode-uri-component,0.2.0,npmjs,decode-uri-component/0.2.0,0.2.0,BDSA-2023-0996 (CVE-2022-38900),"decode-uri-component contains a denial-of-service (DoS) vulnerability. Successful exploitation of this issue enables an unauthenticated attacker to cause an application crash within the decoding process, by supplying a crafted input file.",4/26/23,4/26/23,7.5,3.9,3.6,BDSA,IGNORED,,,Updated by runbook: scans Runbook  [ https://app.armorcode.com/#/findings/301/1479/176272184 ] -By ArmorCode Platform,https://nvd.nist.gov/vuln/detail/CVE-2022-38900,MEDIUM,broken-crystals 0.0.1,6.7,[CWE-20],true,false,true,CVSS 3.x,Transitive Dependency,false
