Incident Type,Status,Severity,Category,Violation ID,Title,Benchmarks,Custom Policy,Reachability,Reachability Details,Encryption,Encryption Details,Traced,First Detection Date,Resource,Source ID,Details
Violation,OPEN,LOW,Networking,BC_AWS_NETWORKING_28,Ensure that internet-facing ELBs are whitelisted,Best practices,No,,,,,,2022-04-13,arn:aws:elasticloadbalancing:us-west-2:034025401910:loadbalancer/dev-alb-pbe,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_NETWORKING_28&status=OPEN
Violation,OPEN,LOW,Networking,BC_AWS_NETWORKING_28,Ensure that internet-facing ELBs are whitelisted,Best practices,No,,,,,,2022-04-13,arn:aws:elasticloadbalancing:us-west-2:034025401910:loadbalancer/qa-alb-pbe,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_NETWORKING_28&status=OPEN
Violation,OPEN,LOW,Networking,BC_AWS_NETWORKING_28,Ensure that internet-facing ELBs are whitelisted,Best practices,No,,,,,,2022-04-13,arn:aws:elasticloadbalancing:us-east-2:034025401910:loadbalancer/tco-public-alb,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_NETWORKING_28&status=OPEN
Violation,OPEN,LOW,Networking,BC_AWS_NETWORKING_28,Ensure that internet-facing ELBs are whitelisted,Best practices,No,,,,,,2022-04-13,arn:aws:elasticloadbalancing:us-west-2:034025401910:loadbalancer/grafana,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_NETWORKING_28&status=OPEN
Violation,OPEN,LOW,IAM,BC_AWS_IAM_21,Ensure a support role has been created to manage incidents with AWS Support,"CIS AWS V1.2,CIS AWS V1.3",No,,,,,,2022-04-13,034025401910,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_IAM_21&status=OPEN
Insight,OPEN,LOW,IAM,BC_AWS_IAM_34,Ensure roles unused in the last 90 days are removed,Best practices,No,,,,,,2022-04-13,arn:aws:iam::034025401910:role/service-role/StepFunctions-NowSecureStateMachine-role-888e1fd4,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_IAM_34&status=OPEN
Insight,OPEN,LOW,IAM,BC_AWS_IAM_34,Ensure roles unused in the last 90 days are removed,Best practices,No,,,,,,2022-04-13,arn:aws:iam::034025401910:role/service-role/rdsevents-role-qqrceg1g,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_IAM_34&status=OPEN
Insight,OPEN,LOW,IAM,BC_AWS_IAM_34,Ensure roles unused in the last 90 days are removed,Best practices,No,,,,,,2022-04-13,arn:aws:iam::034025401910:role/service-role/rds-lambda-dev-armorcode-role-1604489761195,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_IAM_34&status=OPEN
Insight,OPEN,LOW,IAM,BC_AWS_IAM_34,Ensure roles unused in the last 90 days are removed,Best practices,No,,,,,,2022-04-13,arn:aws:iam::034025401910:role/saqeeb-test,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_IAM_34&status=OPEN
Insight,OPEN,LOW,IAM,BC_AWS_IAM_34,Ensure roles unused in the last 90 days are removed,Best practices,No,,,,,,2022-04-13,arn:aws:iam::034025401910:role/S3FullAccess,034025401910,https://www.bridgecrew.cloud/incidents?search=BC_AWS_IAM_34&status=OPEN
