Report Date: 10-10-2022 04:05:43 GMT
Customer: ArmorCode Inc
~~~SELECTED FILTERS~~~
~~~NOTE~~~
Affected resource column data might be trimmed for better visibility
* indicates the security group is unused
State : OPEN
Critical Count,High count,Medium Count,Low Count
6,24,19,155
Alert-Id,Rule-Id,Jira-Id,ServiceNow-Id,Severity,Description,Type,Compliance Tag,Alert Last Updated,Provider,Account,Affected Resources : First Seen : LastModifiedBy : SuppressNotes,Mitre Attack Technique Name,Mitre Attack Technique Id,Mitre Attack Technique Url
A-000165,,,,LOW,Login from a new location,Anomaly,,2021-09-22 14:32:38,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : 8b5d5df3-c2e7-4f82-9f27-c1b06550c56c
			    Account Id          : 034025401910
			    User Name           : devqa-deepak-admin
			    Login Type          : Console
			    Login IP            : 182.69.57.225
			    Previous Login IP   : 203.192.212.80
			    Login Location      : Gurgaon-Haryana-India (ISP : Bharti Airtel)
			    Previous Location   : National Capital Territory of Delhi-India (ISP : In2cable)
			    User Agent          : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36
			    Event Time          : 2021-09-22 14:27:02 +0000
			    Previous Event Time : 2021-09-09 07:31:20 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000167,,,,LOW,2846 % increase in outbound traffic on destination port '443',Anomaly,,2021-09-28 14:40:12,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2021-09-28 14:00:00 to 2021-09-28 14:30:00
Total Traffic  : 2 GB
Expected Traffic  : 87 MB
Variation   : 2846 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.36.216, 172.31.33.102, 10.0.5.141, 10.0.19.124, 10.0.91.140]
Top Destination IPs   : [104.18.123.25, 52.92.128.106, 52.218.250.193, 172.217.5.16, 52.218.197.113]: : :",,,
A-000098,,,,LOW,Login from a new location,Anomaly,,2021-03-08 06:09:27,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : cae5f689-3a0d-4375-a2ac-4978430b7f97
			    Account Id          : 034025401910
			    User Name           : devqa-mp-admin
			    Login Type          : Console
			    Login IP            : 157.36.151.76
			    Previous Login IP   : 157.36.147.131
			    Login Location      : Karnal-Haryana-India (ISP : Reliance Jio Infocomm Limited)
			    Previous Location   : National Capital Territory of Delhi-India (ISP : Reliance Jio Infocomm Limited)
			    User Agent          : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36
			    Event Time          : 2021-03-08 06:02:24 +0000
			    Previous Event Time : 2021-03-08 04:25:59 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000108,,,,LOW,Frequent logins from different locations,Anomaly,,2021-03-19 13:56:14,AWS,Armorcode-dev-qa,"Too many logins from various locations that doesn't match their historical pattern. This user usually logs in from (Maharashtra-India) but recently logged in from (Portland-Oregon-United States) 2 time(s). This may be because the user has travelled from India to United States in the recent past.
				Event Id            : aee844b4-b0dc-4a23-8a1b-168af8717718
			    Account Id          : 034025401910
			    User Name           : devqa-yj-admin
			    Login Type          : Console
			    Login IP            : 52.25.73.254
			    Previous Login IP   : 44.233.173.77
			    Login Location      : Portland-Oregon-United States (ISP : Amazon.com, Inc.)
			    Previous Location   : Portland-Oregon-United States (ISP : Amazon.com, Inc.)
			    User Agent          : Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
			    Event Time          : 2021-03-19 13:44:47 +0000
			    Previous Event Time : 2021-03-18 07:22:42 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000087,,,,HIGH,Login from a new location,Anomaly,,2021-02-06 18:17:08,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : 10fb6bf8-6982-47be-bea1-edfd8551faf8
				Account Id          : 034025401910
			    Role                : devqa-gs-admin
			    Login Type          : API
			    Login IP            : 44.233.97.176
			    Previous Login IP   : 122.181.125.6
			    Login Location      : Portland-Oregon-United States (ISP : Amazon.com, Inc.)
			    Previous Location   : Pune-Maharashtra-India (ISP : Bharti Airtel)
			    User Agent          : aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation
			    Event Time          : 2021-02-06 18:12:31 +0000
			    Previous Event Time : 2021-02-05 09:48:49 +0000
			    Assumed Role        : False: : :",,,
A-000088,,,,HIGH,Login from a new location,Anomaly,,2021-02-08 09:44:14,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : d119757d-3189-4fd5-b210-5206c71170f1
				Account Id          : 034025401910
			    Role                : crest-dixit.kapuriya
			    Login Type          : API
			    Login IP            : 54.184.198.170
			    Previous Login IP   : 49.34.15.0
			    Login Location      : Portland-Oregon-United States (ISP : Amazon.com, Inc.)
			    Previous Location   : Ahmedabad-Gujarat-India (ISP : Reliance Jio Infocomm Limited)
			    User Agent          : aws-cli/1.18.69 Python/3.6.9 Linux/5.4.0-1029-aws botocore/1.16.19
			    Event Time          : 2021-02-08 09:37:09 +0000
			    Previous Event Time : 2021-02-08 06:40:37 +0000
			    Assumed Role        : False: : :",,,
A-000089,,,,LOW,Login from a new location,Anomaly,,2021-02-12 13:10:01,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : ecbce4c0-3c2a-49f8-a3d3-f85834bc9165
			    Account Id          : 034025401910
			    User Name           : devqa-sp-admin
			    Login Type          : Console
			    Login IP            : 208.65.109.53
			    Previous Login IP   : 103.215.148.104
			    Login Location      : Palo Alto-California-United States (ISP : Telx)
			    Previous Location   : Pune-Maharashtra-India (ISP : Cloudnet Communications Pvt Ltd)
			    User Agent          : Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36
			    Event Time          : 2021-02-12 13:00:56 +0000
			    Previous Event Time : 2021-02-10 13:12:10 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000064,,,,LOW,11119 % increase in outbound traffic on destination port '443',Anomaly,,2020-12-23 15:40:01,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2020-12-23 15:00:00 to 2020-12-23 15:30:00
Total Traffic  : 2 GB
Expected Traffic  : 20 MB
Variation   : 11119 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.19.124, 10.0.57.144, 172.31.11.98, 172.16.1.247, 10.0.12.177]
Top Destination IPs   : [104.18.124.25, 104.18.123.25, 104.18.122.25, 140.82.113.3, 104.18.125.25]: : :",,,
A-000063,,,,LOW,41988 % increase in outbound traffic on destination port '443',Anomaly,,2020-12-22 11:10:18,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2020-12-22 10:30:00 to 2020-12-22 11:00:00
Total Traffic  : 24 GB
Expected Traffic  : 57 MB
Variation   : 41988 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.27.158, 10.0.57.144, 172.31.11.98, 172.16.1.247, 10.0.12.177]
Top Destination IPs   : [104.18.122.25, 104.18.121.25, 104.18.125.25, 104.18.123.25, 104.18.124.25]: : :",,,
A-000177,,,,LOW,5668 % increase in outbound traffic on destination port '443',Anomaly,,2022-01-03 12:40:02,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2022-01-03 12:00:00 to 2022-01-03 12:30:00
Total Traffic  : 2 GB
Expected Traffic  : 36 MB
Variation   : 5668 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [172.31.10.21, 172.31.33.102, 10.0.20.219, 10.0.49.106, 10.0.36.216]
Top Destination IPs   : [54.230.19.50, 99.86.57.88, 54.239.174.76, 99.86.57.67, 54.239.174.84]: : :",,,
