Vulnerability Name,Vulnerability ID,Category,Rule Name,Severity,Status,Number of Events,First Seen,First Seen Datetime,Last Seen,Last Seen Datetime,Application Name,Application ID,Application Code,CWE ID,Request Method,Request Port,Request Protocol,Request Version,Request URI,Request Qs,Request Body,Vulnerability instances uuids
"Log Injection from ""Screen"" Parameter, ""action"" Parameter, ""employee_id"" Parameter and 3 Other Sources on ""/WebGoat/attack"" page",LVTB-GX6K-OICD-U8TN,Injection,Log Injection,Note,Reported,37,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/93.html,POST,0,http,1.0,/WebGoat/attack,Screen=160587164&menu=200,employee_id=101&password=asdfasdf&action=Login,LVTB-GX6K-OICD-U8TN
"Cross-Site Scripting from ""WEAKID"" HTTP Cookie on ""/WebGoat/attack"" page",W6CG-3XMD-ZSFK-W1RN,XSS,Cross-Site Scripting,Medium,Confirmed,8,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=950261113&menu=1800,Username=asgik766&Password=bydft972&WEAKID=aklto243&SUBMIT=teouw205,W6CG-3XMD-ZSFK-W1RN
"Log Injection from ""Password"" Parameter, ""SUBMIT"" Parameter, ""Screen"" Parameter and 3 Other Sources on ""/WebGoat/attack"" page",L4KA-CM3A-24TQ-U4O0,Injection,Log Injection,Note,Reported,42,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/93.html,POST,0,http,1.0,/WebGoat/attack,Screen=125644239&menu=700,Username=vjwhd167&Password=neouo811&SUBMIT=myzgi806,L4KA-CM3A-24TQ-U4O0
"Log Injection from ""Screen"" Parameter, ""action"" Parameter, ""httponly"" Parameter and 4 Other Sources on ""/WebGoat/attack"" page",BDCA-H8Y0-LQ0Q-FVRZ,Injection,Log Injection,Note,Reported,49,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/93.html,POST,0,http,1.0,/WebGoat/attack,Screen=68584332&menu=900,httponly_value=cdfzu532&httponly_value=mtxxe534&httponly=mdcrw547&read_result=cfwvm370&action=brcot898&action=ikstd561,BDCA-H8Y0-LQ0Q-FVRZ
'MD5' hash algorithm used at EncodingLesson.java,2IT0-RZP0-TH97-VDWZ,Cryptography,Insecure Hash Algorithms,Medium,Reported,1,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/328.html,GET,0,http,1.0,/WebGoat/attack,Screen=1786050421&menu=1500,,2IT0-RZP0-TH97-VDWZ
'PBEWithMD5AndDES/CBC/PKCS5Padding' encryption algorithm used at EncodingLesson.java,30K9-5F55-IZWF-M8A5,Cryptography,Insecure Encryption Algorithms,Note,Reported,1,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/327.html,GET,0,http,1.0,/WebGoat/attack,Screen=1786050421&menu=1500,,30K9-5F55-IZWF-M8A5
Cross-Site Request Forgery detected,NHEN-63ZD-JR25-GBHN,Authentication,Cross-Site Request Forgery,High,Reported,0,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/352.html,GET,0,http,1.0,/WebGoat/attack,Screen=2078372&menu=900,,NHEN-63ZD-JR25-GBHN
'SHA' hash algorithm used at HttpOnly.java,L3QF-3CV3-YWBQ-RAPR,Cryptography,Insecure Hash Algorithms,Medium,Reported,1,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/328.html,GET,0,http,1.0,/WebGoat/attack,Screen=68584332&menu=900,,L3QF-3CV3-YWBQ-RAPR
Insecure JSP Placement,RLEJ-UGNK-FDW4-0SOG,Access Control,Insecure JSP Placement,Medium,Reported,0,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/219.html,,,,,,,,RLEJ-UGNK-FDW4-0SOG
Pages Without Anti-Clickjacking Controls detected,9SH3-BS3J-WQID-329A,Authentication,Pages Without Anti-Clickjacking Controls,Note,Reported,0,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/693.html,GET,0,http,1.0,/WebGoat/service/source.mvc,,,9SH3-BS3J-WQID-329A
