Hostname,LocalIP,HostType,OSVersion,MachineDomain,OU,SiteName,Product,CVE ID,CVE Description,Status,Severity,Created Date,Closed Date,Closed Dwell Time,Base Score,CVSS Version,Vector,Vendor Advisory,References,Recommended Remediations,Remediation Details,Remediation Links,Group Names,Tags,Host ID,Exploit status value,Exploit status label,Platform,Vulnerable Product Versions,Closed Product Versions,RemediationLevel,ExPRT Rating,Is Suppressed,AdditionalRemediationAdvisoryUrl,AdditionalRemediationSteps
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-3266,"An out-of-bounds read flaw exist when decoding H264 video in prior versions of Firefox 105. A remote attacker can exploit this vulnerability to cause a exploitable crash, denial of service.",open,HIGH,2022-09-29T06:14:57Z,,0,8.8,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://www.mozilla.org/en-US/security/advisories/mfsa2022-40/,,Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,MEDIUM,TRUE,,
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-40956,"A flaw was found in Mozilla. The Mozilla Foundation Security Advisory describes the issue that when injecting an HTML base element; some requests would ignore the CSP's base-uri settings and accept the injected element's base instead.
",open,MEDIUM,2022-09-29T06:14:57Z,,0,6.1,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,https://www.mozilla.org/en-US/security/advisories/mfsa2022-41/#CVE-2022-40956,Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-40962,"A flaw was found in Mozilla. The Mozilla Foundation Security Advisory describes the issue of Mozilla developers Nika Layzell, Timothy Nikkel, Jeff Muizelaar, Sebastian Hengst, Andreas Pehrson, and the Mozilla Fuzzing Team reporting memory safety bugs present in Firefox 104 and Firefox ESR 102.2. Some of these bugs showed evidence of memory corruption and the presumption that with enough effort, some have been exploited to run arbitrary code.",open,HIGH,2022-09-29T06:14:57Z,,0,7.5,3,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,,https://www.mozilla.org/en-US/security/advisories/mfsa2022-41/#CVE-2022-40962,Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
Syeds-MacBook-Pro.local,,Workstation1,Monterey (12),,,,Firefox,CVE-2022-38475,"The vulnerability allows a remote attacker to bypass implemented security mechanisms. The vulnerability exists due to insufficient validation of user-supplied input. A remote attacker can write a value in a zero-length JavaScript array.
",open,MEDIUM,2022-09-29T06:14:57Z,,0,4.3,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,,"http://www.mozilla.org/en-US/security/advisories/mfsa2022-33/, https://security-tracker.debian.org/tracker/CVE-2022-38475",Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-38477,Mozilla developer Nika Layzell and the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 103 and Firefox ESR 102.1. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.,open,HIGH,2022-09-29T06:14:57Z,,0,8.8,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,"https://access.redhat.com/security/cve/CVE-2022-38477, https://security-tracker.debian.org/tracker/CVE-2022-38477, https://www.mozilla.org/en-US/security/advisories/mfsa2022-34/#CVE-2022-38477",Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,MEDIUM,TRUE,,
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-38472,"An attacker could have abused XSLT error handling to associate attacker-controlled content with another origin which was displayed in the address bar. This could have been used to fool the user into submitting data intended for the spoofed origin.
",open,MEDIUM,2022-09-29T06:14:57Z,,0,5.4,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,,"https://access.redhat.com/security/cve/CVE-2022-38472, https://security-tracker.debian.org/tracker/CVE-2022-38472, https://www.mozilla.org/en-US/security/advisories/mfsa2022-34/#CVE-2022-38472",Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-40959,"A flaw was found in Mozilla. The Mozilla Foundation Security Advisory describes the issue that certain pages did not have their FeaturePolicy fully initialized during iframe navigation, leading to a bypass that leaked device permissions into untrusted subdocuments.
",open,HIGH,2022-09-29T06:14:57Z,,0,7.5,3,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,,https://www.mozilla.org/en-US/security/advisories/mfsa2022-41/#CVE-2022-40959,Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-38473,"A cross-origin iframe referencing an XSLT document would inherit the parent domain's permissions (such as microphone or camera access).
",open,MEDIUM,2022-09-29T06:14:57Z,,0,5.4,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,,"https://access.redhat.com/security/cve/CVE-2022-38473, https://security-tracker.debian.org/tracker/CVE-2022-38473, https://www.mozilla.org/en-US/security/advisories/mfsa2022-34/#CVE-2022-38473",Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-40960,"A flaw was found in Mozilla. The Mozilla Foundation Security Advisory describes the issue that concurrent use of the URL parser with non-UTF-8 data was not thread-safe, leading to a use-after-free problem and causing a potentially exploitable crash.",open,HIGH,2022-09-29T06:14:57Z,,0,7.5,3,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,,https://www.mozilla.org/en-US/security/advisories/mfsa2022-41/#CVE-2022-40960,Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-38478,"Members the Mozilla Fuzzing Team reported memory safety bugs present in Firefox 103, Firefox ESR 102.1, and Firefox ESR 91.12. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",open,HIGH,2022-09-29T06:14:57Z,,0,8.8,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,"https://access.redhat.com/security/cve/CVE-2022-38478, https://security-tracker.debian.org/tracker/CVE-2022-38478, https://www.mozilla.org/en-US/security/advisories/mfsa2022-34/#CVE-2022-38478",Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,MEDIUM,TRUE,,
Syeds-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-40958,"A flaw was found in Mozilla. The Mozilla Foundation Security Advisory describes the issue that by injecting a cookie with certain special characters, an attacker on a shared subdomain, which is not a secure context, could set and overwrite cookies from a secure context, leading to session fixation and other attacks.
",open,MEDIUM,2022-09-29T06:14:57Z,,0,6.1,3,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,https://www.mozilla.org/en-US/security/advisories/mfsa2022-41/#CVE-2022-40958,Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,c3403fb6a1fb47768c7872ca448189ee,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
Tejass-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-31740,"On arm64, WASM code could have resulted in incorrect assembly generation leading to a register allocation problem, and a potentially exploitable crash.",open,HIGH,2022-09-29T06:51:16Z,,0,7.5,3,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,,"https://access.redhat.com/security/cve/CVE-2022-31740, https://security-tracker.debian.org/tracker/CVE-2022-31740, https://www.mozilla.org/en-US/security/advisories/mfsa2022-21/#CVE-2022-31740",Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,aa82c89e9ff74b90a3dd0aa02a679e3a,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
Tejass-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-34485,"The vulnerability allows a remote attacker to execute arbitrary code on the target system. The vulnerability exists due to a boundary error when processing HTML content. A remote attacker can create a specially crafted web page, trick the victim into opening it, trigger memory corruption and execute arbitrary code on the target system. Successful exploitation of this vulnerability may result in complete compromise of vulnerable system.
",open,HIGH,2022-09-29T06:51:16Z,,0,8.8,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,,"http://www.mozilla.org/en-US/security/advisories/mfsa2022-24/, https://security-tracker.debian.org/tracker/CVE-2022-34485",Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,aa82c89e9ff74b90a3dd0aa02a679e3a,0,Unproven,Mac,Firefox,,O,HIGH,TRUE,,
Tejass-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-34483,"The vulnerability allows a remote attacker to compromise the affected system. The vulnerability exists due to insufficient UI warning when performing drag and drop operations. A remote attacker can trick the victim to drag and drop an image to a filesystem, manipulate the resulting filename to contain executable extension and execute arbitrary application on the system.
",open,HIGH,2022-09-29T06:51:16Z,,0,7.5,3,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,,"http://www.mozilla.org/en-US/security/advisories/mfsa2022-24/, https://security-tracker.debian.org/tracker/CVE-2022-34483",Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,aa82c89e9ff74b90a3dd0aa02a679e3a,0,Unproven,Mac,Firefox,,O,MEDIUM,TRUE,,
Tejass-MacBook-Pro.local,,Workstation,Monterey (12),,,,Firefox,CVE-2022-22760,"When importing resources using Web Workers, error messages would distinguish the difference between `application/javascript` responses and non-script responses. This could have been abused to learn information cross-origin.
",open,MEDIUM,2022-09-29T06:51:16Z,,0,6.1,3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,,"https://access.redhat.com/security/cve/CVE-2022-22760, https://security-tracker.debian.org/tracker/CVE-2022-22760, https://ubuntu.com/security/CVE-2022-22760, https://www.mozilla.org/en-US/security/advisories/mfsa2022-05/#CVE-2022-22760",Update Mozilla Firefox,Update Mozilla Firefox to version 105 or newer,,,,aa82c89e9ff74b90a3dd0aa02a679e3a,0,Unproven,Mac,Firefox,,O,LOW,TRUE,,
