"CVE ID","Component","Version","Attack Vector","CVSS Score","CVSS Version","CWE ID","CWE Name","Impact Score","Number of Known Exploits","Number of Known Attacks","Status","CVE Resolution","What is this vulnerability"
"CVE-2016-3709","libxml2","2.9.4","NETWORK","6.10","3.1","CWE-79","","Low","0","0","TO FIX","NA","Possible cross-site scripting vulnerability in libxml after commit 960f0e2."
"CVE-2017-16932","libxml2","2.9.4","NETWORK","7.50","3.0","CWE-835","Loop with Unreachable Exit Condition ('Infinite Loop')","Medium","0","0","TO FIX","NA","parser.c in libxml2 before 2.9.5 does not prevent infinite recursion in parameter entities."
"CVE-2022-40303","libxml2","2.9.4","","7.80","","","","Medium","0","0","TO FIX","",""
"CVE-2022-40304","libxml2","2.9.4","","9.80","","","","High","0","0","TO FIX","",""
"CVE-2021-3807","ansi-regex","5.0.0","NETWORK","7.50","3.1","CWE-697","","Medium","1","0","TO FIX","","ansi-regex is vulnerable to Inefficient Regular Expression Complexity"
"CVE-2021-3807","ansi-regex","3.0.0","NETWORK","7.50","3.1","CWE-697","","Medium","1","0","TO FIX","","ansi-regex is vulnerable to Inefficient Regular Expression Complexity"
"CVE-2021-3807","ansi-regex","4.1.0","NETWORK","7.50","3.1","CWE-697","","Medium","1","0","TO FIX","","ansi-regex is vulnerable to Inefficient Regular Expression Complexity"
"CVE-2021-3749","axios","0.21.1","NETWORK","7.50","3.1","CWE-1333","","Medium","1","0","TO FIX","NA","axios is vulnerable to Inefficient Regular Expression Complexity"
"CVE-2019-18276","bash","5.0","LOCAL","7.80","3.1","CWE-273","Improper Check for Dropped Privileges","Medium","2","0","TO FIX","","An issue was discovered in disable_priv_mode in shell.c in GNU Bash through 5.0 patch 11. By default, if Bash is run with its effective UID not equal to its real UID, it will drop privileges by setting its effective UID to its real UID. However, it does so incorrectly. On Linux and other systems that support ""saved UID"" functionality, the saved UID is not dropped. An attacker with command execution in the shell can use ""enable -f"" for runtime loading of a new builtin, which can be a shared object that calls setuid() and therefore regains privileges. However, binaries running with an effective UID of 0 are unaffected."
"CVE-2018-1000876","binutils","2.31.1","LOCAL","7.80","3.0","CWE-190","Integer Overflow or Wraparound","Medium","1","0","TO FIX","NA","binutils version 2.32 and earlier contains a Integer Overflow vulnerability in objdump, bfd_get_dynamic_reloc_upper_bound,bfd_canonicalize_dynamic_reloc that can result in Integer overflow trigger heap overflow. Successful exploitation allows execution of arbitrary code.. This attack appear to be exploitable via Local. This vulnerability appears to have been fixed in after commit 3a551c7a1b80fca579461774860574eabfd7f18f."
"CVE-2018-17358","binutils","2.31.1","LOCAL","5.50","3.0","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Low","1","0","TO FIX","NA","An issue was discovered in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31. An invalid memory access exists in _bfd_stab_section_find_nearest_line in syms.c. Attackers could leverage this vulnerability to cause a denial of service (application crash) via a crafted ELF file."
"CVE-2018-17359","binutils","2.31.1","LOCAL","5.50","3.0","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Low","1","0","TO FIX","NA","An issue was discovered in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31. An invalid memory access exists in bfd_zalloc in opncls.c. Attackers could leverage this vulnerability to cause a denial of service (application crash) via a crafted ELF file."
"CVE-2018-17360","binutils","2.31.1","LOCAL","5.50","3.0","CWE-125","Out-of-bounds Read","Low","1","0","TO FIX","NA","An issue was discovered in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31. a heap-based buffer over-read in bfd_getl32 in libbfd.c allows an attacker to cause a denial of service through a crafted PE file. This vulnerability can be triggered by the executable objdump."
"CVE-2018-17794","binutils","2.31.1","NETWORK","6.50","3.0","CWE-476","NULL Pointer Dereference","Low","0","0","TO FIX","NA","An issue was discovered in cplus-dem.c in GNU libiberty, as distributed in GNU Binutils 2.31. There is a NULL pointer dereference in work_stuff_copy_to_from when called from iterate_demangle_function."
"CVE-2018-17985","binutils","2.31.1","LOCAL","5.50","3.0","CWE-400","Uncontrolled Resource Consumption","Low","0","0","TO FIX","NA","An issue was discovered in cp-demangle.c in GNU libiberty, as distributed in GNU Binutils 2.31. There is a stack consumption problem caused by the cplus_demangle_type function making recursive calls to itself in certain scenarios involving many 'P' characters."
"CVE-2018-18309","binutils","2.31.1","LOCAL","5.50","3.0","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Low","1","0","TO FIX","NA","An issue was discovered in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31. An invalid memory address dereference was discovered in read_reloc in reloc.c. The vulnerability causes a segmentation fault and application crash, which leads to denial of service, as demonstrated by objdump, because of missing _bfd_clear_contents bounds checking."
"CVE-2018-18483","binutils","2.31.1","LOCAL","7.80","3.0","CWE-190","Integer Overflow or Wraparound","Medium","2","0","TO FIX","NA","The get_count function in cplus-dem.c in GNU libiberty, as distributed in GNU Binutils 2.31, allows remote attackers to cause a denial of service (malloc called with the result of an integer-overflowing calculation) or possibly have unspecified other impact via a crafted string, as demonstrated by c++filt."
"CVE-2018-18484","binutils","2.31.1","LOCAL","5.50","3.0","CWE-674","Uncontrolled Resource Consumption","Low","1","0","TO FIX","NA","An issue was discovered in cp-demangle.c in GNU libiberty, as distributed in GNU Binutils 2.31. Stack Exhaustion occurs in the C++ demangling functions provided by libiberty, and there is a stack consumption problem caused by recursive stack frames: cplus_demangle_type, d_bare_function_type, d_function_type."
"CVE-2018-18605","binutils","2.31.1","LOCAL","5.50","3.0","CWE-125","Out-of-bounds Read","Low","1","0","TO FIX","NA","A heap-based buffer over-read issue was discovered in the function sec_merge_hash_lookup in merge.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31, because _bfd_add_merge_section mishandles section merges when size is not a multiple of entsize. A specially crafted ELF allows remote attackers to cause a denial of service, as demonstrated by ld."
"CVE-2018-18606","binutils","2.31.1","LOCAL","5.50","3.0","CWE-476","NULL Pointer Dereference","Low","1","0","TO FIX","NA","An issue was discovered in the merge_strings function in merge.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31. There is a NULL pointer dereference in _bfd_add_merge_section when attempting to merge sections with large alignments. A specially crafted ELF allows remote attackers to cause a denial of service, as demonstrated by ld."
"CVE-2018-18607","binutils","2.31.1","LOCAL","5.50","3.0","CWE-476","NULL Pointer Dereference","Low","1","0","TO FIX","NA","An issue was discovered in elf_link_input_bfd in elflink.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31. There is a NULL pointer dereference in elf_link_input_bfd when used for finding STT_TLS symbols without any TLS section. A specially crafted ELF allows remote attackers to cause a denial of service, as demonstrated by ld."
"CVE-2018-18700","binutils","2.31.1","LOCAL","5.50","3.0","CWE-835","Loop with Unreachable Exit Condition ('Infinite Loop')","Low","1","0","TO FIX","NA","An issue was discovered in cp-demangle.c in GNU libiberty, as distributed in GNU Binutils 2.31. There is a stack consumption vulnerability resulting from infinite recursion in the functions d_name(), d_encoding(), and d_local_name() in cp-demangle.c. Remote attackers could leverage this vulnerability to cause a denial-of-service via an ELF file, as demonstrated by nm."
"CVE-2018-18701","binutils","2.31.1","LOCAL","5.50","3.0","CWE-835","Loop with Unreachable Exit Condition ('Infinite Loop')","Low","1","0","TO FIX","NA","An issue was discovered in cp-demangle.c in GNU libiberty, as distributed in GNU Binutils 2.31. There is a stack consumption vulnerability resulting from infinite recursion in the functions next_is_type_qual() and cplus_demangle_type() in cp-demangle.c. Remote attackers could leverage this vulnerability to cause a denial-of-service via an ELF file, as demonstrated by nm."
"CVE-2018-19931","binutils","2.31.1","LOCAL","7.80","3.0","CWE-787","Improper Restriction of Operations within the Bounds of a Memory Buffer","Medium","0","0","TO FIX","NA","An issue was discovered in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils through 2.31. There is a heap-based buffer overflow in bfd_elf32_swap_phdr_in in elfcode.h because the number of program headers is not restricted."
"CVE-2018-19932","binutils","2.31.1","LOCAL","5.50","3.0","CWE-190","Integer Overflow or Wraparound","Low","1","0","TO FIX","NA","An issue was discovered in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils through 2.31. There is an integer overflow and infinite loop caused by the IS_CONTAINED_BY_LMA macro in elf.c."
"CVE-2018-20002","binutils","2.31.1","LOCAL","5.50","3.0","CWE-772","Missing Release of Resource after Effective Lifetime","Low","1","0","TO FIX","NA","The _bfd_generic_read_minisymbols function in syms.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31, has a memory leak via a crafted ELF file, leading to a denial of service (memory consumption), as demonstrated by nm."
"CVE-2018-20623","binutils","2.31.1","LOCAL","5.50","3.0","CWE-416","Use After Free","Low","1","0","TO FIX","NA","In GNU Binutils 2.31.1, there is a use-after-free in the error function in elfcomm.c when called from the process_archive function in readelf.c via a crafted ELF file."
"CVE-2018-20651","binutils","2.31.1","LOCAL","5.50","3.0","CWE-476","NULL Pointer Dereference","Low","1","0","TO FIX","NA","A NULL pointer dereference was discovered in elf_link_add_object_symbols in elflink.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31.1. This occurs for a crafted ET_DYN with no program headers. A specially crafted ELF file allows remote attackers to cause a denial of service, as demonstrated by ld."
"CVE-2018-20657","binutils","2.31.1","NETWORK","7.50","3.0","CWE-772","Missing Release of Resource after Effective Lifetime","Medium","1","0","TO FIX","NA","The demangle_template function in cplus-dem.c in GNU libiberty, as distributed in GNU Binutils 2.31.1, has a memory leak via a crafted string, leading to a denial of service (memory consumption), as demonstrated by cxxfilt, a related issue to CVE-2018-12698."
"CVE-2018-20671","binutils","2.31.1","LOCAL","5.50","3.0","CWE-190","Integer Overflow or Wraparound","Low","1","0","TO FIX","NA","load_specific_debug_section in objdump.c in GNU Binutils through 2.31.1 contains an integer overflow vulnerability that can trigger a heap-based buffer overflow via a crafted section size."
