Machine Vulnerabilities Export,01 May 2024 07:59 AM +00:00
Name,Severity,CVSS v3,Epss score,Age (days),Published,First detected,Updated,Has Exploit,Has Known Threats,Has Associated Alerts,Related Software,Description
CVE-2023-38254,Medium,6.5,,267,"08 Aug, 2023","27 Feb, 2024","10 Aug, 2023",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2008;microsoft:windows_server_2008_r2;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022,"Summary: The vulnerability is a Denial of Service (DoS) vulnerability in the Microsoft Message Queuing component of Microsoft Windows. An attacker can exploit this vulnerability by sending a specially crafted malicious MSMQ packet to an MSMQ server, causing a DoS condition. Impact: If exploited, this vulnerability could result in a denial of service condition, causing the affected MSMQ server to become unresponsive and potentially impacting the availability of critical services. Remediation: Upgrade to the latest version of Microsoft Windows that includes the fix for this vulnerability. Generated by AI"
CVE-2024-26250,Medium,6.7,,23,"08 Apr, 2024","09 Apr, 2024","10 Apr, 2024",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022,Secure Boot Security Feature Bypass Vulnerability
CVE-2022-41069,High,8.1,,540,"08 Nov, 2022","27 Feb, 2024","08 Nov, 2022",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_7;microsoft:windows_8.1;microsoft:windows_rt;microsoft:windows_server_2008;microsoft:windows_server_2008_r2;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022,"Summary: The Windows Internet Name Service (WINS) in Microsoft Windows is vulnerable to remote code execution. Impact: An attacker could exploit this vulnerability to execute arbitrary code on the affected system, potentially gaining full control over it. Remediation: Upgrade to the latest version of Microsoft Windows to mitigate this vulnerability. Generated by AI"
CVE-2023-4047,Medium,6.5,,274,"01 Aug, 2023","29 Feb, 2024","07 Sep, 2023",False,False,False,oracle:firefox;oracle:thunderbird;ubuntu:firefox;ubuntu:thunderbird;ubuntu:xul;mozilla:firefox;mozilla:firefox_esr;mozilla:thunderbird;red_hat:firefox;red_hat:firefox-x11;red_hat:thunderbird;debian:firefox-esr;debian:thunderbird;suse:mozillafirefox;suse:mozillafirefox-devel;suse:mozillafirefox-translations-common;suse:mozillafirefox-translations-other;suse:mozillathunderbird;suse:mozillathunderbird-translations-common;suse:mozillathunderbird-translations-other;suse:mozillafirefox-branding-upstream;suse:libmozjs-102-0;suse:mozjs102;suse:mozjs102-devel,"Summary: A bug in popup notifications delay calculation in Mozilla Firefox could allow an attacker to trick a user into granting permissions. This vulnerability affects Firefox versions prior to 116, Firefox ESR versions prior to 102.14, and Firefox ESR versions prior to 115.1. Impact: If exploited, an attacker could use clickjacking to trick a user into granting permissions, potentially leading to unauthorized access to sensitive information or the execution of arbitrary code. Remediation: Upgrade to Firefox version 116, Firefox ESR version 102.14, or Firefox ESR version 115.1. AdditionalInformation: This vulnerability has been fixed in Firefox version 116.0+build2-0ubuntu0.20.04.2. Generated by AI"
CVE-2022-37985,Medium,5.5,,568,"11 Oct, 2022","27 Feb, 2024","20 Dec, 2023",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_7;microsoft:windows_8.1;microsoft:windows_rt;microsoft:windows_server_2008;microsoft:windows_server_2008_r2;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022,"Summary: There is a vulnerability in the Windows Graphics Component that could allow an attacker to obtain sensitive information. By convincing a victim to open a specially-crafted file, the attacker can exploit this vulnerability to access initialized or uninitialized memory in the process heap. This information can then be used to launch further attacks against the affected system. Impact: If this vulnerability is exploited, an attacker can gain access to sensitive information stored in the affected system's memory. This can lead to unauthorized access, data theft, and potential compromise of the system's integrity and confidentiality. Remediation: Upgrade to the latest version of Microsoft Windows to mitigate this vulnerability. Generated by AI"
CVE-2022-44680,High,7.8,,505,"13 Dec, 2022","27 Feb, 2024","10 Mar, 2023",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_8.1;microsoft:windows_rt;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022,"Summary: The Windows Graphics Component in Microsoft Windows is vulnerable to an elevation of privilege attack. An authenticated attacker can exploit this vulnerability to gain elevated privileges on the system. Impact: If successfully exploited, an attacker with authenticated access to the system can gain SYSTEM privileges, allowing them to perform unauthorized actions and potentially compromise the entire system. Remediation: Upgrade to the latest version of Microsoft Windows to mitigate this vulnerability. Generated by AI"
CVE-2024-3862,Medium,6.5,,15,"16 Apr, 2024","16 Apr, 2024","17 Apr, 2024",False,False,False,mozilla:firefox;ubuntu:firefox;ubuntu:firefox-dev;ubuntu:firefox-geckodriver;ubuntu:firefox-locale-af;ubuntu:firefox-locale-an;ubuntu:firefox-locale-ar;ubuntu:firefox-locale-as;ubuntu:firefox-locale-ast;ubuntu:firefox-locale-az;ubuntu:firefox-locale-be;ubuntu:firefox-locale-bg;ubuntu:firefox-locale-bn;ubuntu:firefox-locale-br;ubuntu:firefox-locale-bs;ubuntu:firefox-locale-ca;ubuntu:firefox-locale-cak;ubuntu:firefox-locale-cs;ubuntu:firefox-locale-csb;ubuntu:firefox-locale-cy;ubuntu:firefox-locale-da;ubuntu:firefox-locale-de;ubuntu:firefox-locale-el;ubuntu:firefox-locale-en;ubuntu:firefox-locale-eo;ubuntu:firefox-locale-es;ubuntu:firefox-locale-et;ubuntu:firefox-locale-eu;ubuntu:firefox-locale-fa;ubuntu:firefox-locale-fi;ubuntu:firefox-locale-fr;ubuntu:firefox-locale-fy;ubuntu:firefox-locale-ga;ubuntu:firefox-locale-gd;ubuntu:firefox-locale-gl;ubuntu:firefox-locale-gn;ubuntu:firefox-locale-gu;ubuntu:firefox-locale-he;ubuntu:firefox-locale-hi;ubuntu:firefox-locale-hr;ubuntu:firefox-locale-hsb;ubuntu:firefox-locale-hu;ubuntu:firefox-locale-hy;ubuntu:firefox-locale-ia;ubuntu:firefox-locale-id;ubuntu:firefox-locale-is;ubuntu:firefox-locale-it;ubuntu:firefox-locale-ja;ubuntu:firefox-locale-ka;ubuntu:firefox-locale-kab;ubuntu:firefox-locale-kk;ubuntu:firefox-locale-km;ubuntu:firefox-locale-kn;ubuntu:firefox-locale-ko;ubuntu:firefox-locale-ku;ubuntu:firefox-locale-lg;ubuntu:firefox-locale-lt;ubuntu:firefox-locale-lv;ubuntu:firefox-locale-mai;ubuntu:firefox-locale-mk;ubuntu:firefox-locale-ml;ubuntu:firefox-locale-mn;ubuntu:firefox-locale-mr;ubuntu:firefox-locale-ms;ubuntu:firefox-locale-my;ubuntu:firefox-locale-nb;ubuntu:firefox-locale-ne;ubuntu:firefox-locale-nl;ubuntu:firefox-locale-nn;ubuntu:firefox-locale-nso;ubuntu:firefox-locale-oc;ubuntu:firefox-locale-or;ubuntu:firefox-locale-pa;ubuntu:firefox-locale-pl;ubuntu:firefox-locale-pt;ubuntu:firefox-locale-ro;ubuntu:firefox-locale-ru;ubuntu:firefox-locale-si;ubuntu:firefox-locale-sk;ubuntu:firefox-locale-sl;ubuntu:firefox-locale-sq;ubuntu:firefox-locale-sr;ubuntu:firefox-locale-sv;ubuntu:firefox-locale-sw;ubuntu:firefox-locale-szl;ubuntu:firefox-locale-ta;ubuntu:firefox-locale-te;ubuntu:firefox-locale-tg;ubuntu:firefox-locale-th;ubuntu:firefox-locale-tr;ubuntu:firefox-locale-uk;ubuntu:firefox-locale-ur;ubuntu:firefox-locale-uz;ubuntu:firefox-locale-vi;ubuntu:firefox-locale-xh;ubuntu:firefox-locale-zh-hans;ubuntu:firefox-locale-zh-hant;ubuntu:firefox-locale-zu;ubuntu:firefox-mozsymbols,"This vulnerability affects the following vendors: Mozilla, Ubuntu. To view more details about this vulnerability please visit the vendor website."
CVE-2020-10735,High,7.5,,607,"02 Sep, 2022","29 Feb, 2024","26 Apr, 2024",False,False,False,oracle:python3;oracle:python;oracle:platform;python:python;oracle:peoplesoft_enterprise_peopletools;red_hat:python-unversioned-command;red_hat:python3;red_hat:python3-debug;red_hat:python3-devel;red_hat:python3-idle;red_hat:python3-libs;red_hat:python3-test;red_hat:python3-tkinter;red_hat:platform-python;red_hat:platform-python-debug;red_hat:platform-python-devel;debian:python3.11;debian:python3.7;suse:python3-tools;suse:libpython3_10-1_0;suse:python310;suse:python310-base;suse:python310-curses;suse:python310-dbm;suse:python310-devel;suse:python310-idle;suse:python310-tk;suse:python310-tools;suse:libpython3_6m1_0;suse:python3;suse:python3-base;suse:python3-curses;suse:python3-dbm;suse:python3-devel;suse:python3-idle;suse:python3-tk;suse:python3-testsuite;suse:libpython3_9-1_0;suse:python39;suse:python39-base;suse:python39-curses;suse:python39-dbm;suse:python39-devel;suse:python39-idle;suse:python39-tk;suse:python39-tools;suse:libpython3_4m1_0;suse:libpython3_4m1_0-32bit;suse:libpython3_6m1_0-32bit;suse:python36;suse:python36-base;suse:python36-curses;suse:python36-dbm;suse:python36-devel;suse:python36-idle;suse:python36-testsuite;suse:python36-tk;suse:python36-tools;suse:python310-32bit;suse:python310-pydantic;suse:python311;suse:python311-32bit;suse:python311-curses;suse:python311-dbm;suse:python311-idle;suse:python311-tk;suse:python312;suse:python312-curses;suse:python312-dbm;suse:python312-idle;suse:python312-tk;suse:python312-x86-64-v3;suse:python38;suse:python38-32bit;suse:python38-curses;suse:python38-dbm;suse:python38-idle;suse:python38-pydantic;suse:python38-tk;suse:python39-32bit;suse:python39-pydantic;suse:libpython3_10-1_0-32bit;suse:libpython3_9-1_0-32bit;suse:python3-doc;suse:python3-doc-devhelp;suse:python310-base-32bit;suse:python310-doc;suse:python310-doc-devhelp;suse:python310-testsuite;suse:python39-base-32bit;suse:python39-doc;suse:python39-doc-devhelp;suse:python39-testsuite;amazon:python3;amazon:python3-libs;amazon:python3-devel;amazon:python3-tools;amazon:python3-tkinter;amazon:python3-test;amazon:python3-debug;amazon:python3-debuginfo;fedora:mingw-python3;fedora:mingw32-python3-debuginfo;fedora:mingw64-python3-debuginfo;fedora:mingw64-python3;fedora:mingw32-python3;microsoft:python3,"Summary: A vulnerability has been discovered in Python that allows for a denial of service attack. The vulnerability is caused by the failure to limit the number of digits when converting text to an integer using the int() function. An attacker could exploit this vulnerability to consume all available resources, leading to a denial of service condition. The vulnerability affects Python versions 3.6, 3.7, and 3.10. The highest threat from this vulnerability is to system availability. Impact: If exploited, this vulnerability could result in a denial of service condition, causing the affected system to become unresponsive and potentially impacting the availability of services. Remediation: Apply the latest patches and updates provided by the respective vendors. AdditionalInformation: None Generated by AI"
CVE-2021-35561,Medium,5.3,,925,"19 Oct, 2021","29 Feb, 2024","26 Apr, 2024",False,False,False,oracle:java;ubuntu:openjdk;oracle:graalvm;oracle:openjdk;netapp:active_iq_unified_manager;netapp:e-series_santricity_os_controller;netapp:e-series_santricity_storage_manager;netapp:e-series_santricity_web_services;netapp:hci_management_node;netapp:oncommand_insight;netapp:oncommand_workflow_automation;netapp:santricity_unified_manager;netapp:snapmanager;netapp:solidfire;oracle:jdk;oracle:jre;centos:java-1.8.0-openjdk;centos:java-1.8.0-openjdk-accessibility;centos:java-1.8.0-openjdk-demo;centos:java-1.8.0-openjdk-devel;centos:java-1.8.0-openjdk-headless;centos:java-1.8.0-openjdk-javadoc;centos:java-1.8.0-openjdk-javadoc-zip;centos:java-1.8.0-openjdk-src;centos:java-11-openjdk;centos:java-11-openjdk-demo;centos:java-11-openjdk-devel;centos:java-11-openjdk-headless;centos:java-11-openjdk-javadoc;centos:java-11-openjdk-javadoc-zip;centos:java-11-openjdk-jmods;centos:java-11-openjdk-src;centos:java-11-openjdk-static-libs;red_hat:java-11-openjdk;red_hat:java-11-openjdk-demo;red_hat:java-11-openjdk-demo-fastdebug;red_hat:java-11-openjdk-demo-slowdebug;red_hat:java-11-openjdk-devel;red_hat:java-11-openjdk-devel-fastdebug;red_hat:java-11-openjdk-devel-slowdebug;red_hat:java-11-openjdk-fastdebug;red_hat:java-11-openjdk-headless;red_hat:java-11-openjdk-headless-fastdebug;red_hat:java-11-openjdk-headless-slowdebug;red_hat:java-11-openjdk-javadoc;red_hat:java-11-openjdk-javadoc-zip;red_hat:java-11-openjdk-jmods;red_hat:java-11-openjdk-jmods-fastdebug;red_hat:java-11-openjdk-jmods-slowdebug;red_hat:java-11-openjdk-slowdebug;red_hat:java-11-openjdk-src;red_hat:java-11-openjdk-src-fastdebug;red_hat:java-11-openjdk-src-slowdebug;red_hat:java-11-openjdk-static-libs;red_hat:java-11-openjdk-static-libs-fastdebug;red_hat:java-11-openjdk-static-libs-slowdebug;red_hat:java-1.8.0-openjdk;red_hat:java-1.8.0-openjdk-accessibility;red_hat:java-1.8.0-openjdk-accessibility-fastdebug;red_hat:java-1.8.0-openjdk-accessibility-slowdebug;red_hat:java-1.8.0-openjdk-demo;red_hat:java-1.8.0-openjdk-demo-fastdebug;red_hat:java-1.8.0-openjdk-demo-slowdebug;red_hat:java-1.8.0-openjdk-devel;red_hat:java-1.8.0-openjdk-devel-fastdebug;red_hat:java-1.8.0-openjdk-devel-slowdebug;red_hat:java-1.8.0-openjdk-fastdebug;red_hat:java-1.8.0-openjdk-headless;red_hat:java-1.8.0-openjdk-headless-fastdebug;red_hat:java-1.8.0-openjdk-headless-slowdebug;red_hat:java-1.8.0-openjdk-javadoc;red_hat:java-1.8.0-openjdk-javadoc-zip;red_hat:java-1.8.0-openjdk-slowdebug;red_hat:java-1.8.0-openjdk-src;red_hat:java-1.8.0-openjdk-src-fastdebug;red_hat:java-1.8.0-openjdk-src-slowdebug;red_hat:java-17-openjdk;red_hat:java-17-openjdk-demo;red_hat:java-17-openjdk-demo-fastdebug;red_hat:java-17-openjdk-demo-slowdebug;red_hat:java-17-openjdk-devel;red_hat:java-17-openjdk-devel-fastdebug;red_hat:java-17-openjdk-devel-slowdebug;red_hat:java-17-openjdk-fastdebug;red_hat:java-17-openjdk-headless;red_hat:java-17-openjdk-headless-fastdebug;red_hat:java-17-openjdk-headless-slowdebug;red_hat:java-17-openjdk-javadoc;red_hat:java-17-openjdk-javadoc-zip;red_hat:java-17-openjdk-jmods;red_hat:java-17-openjdk-jmods-fastdebug;red_hat:java-17-openjdk-jmods-slowdebug;red_hat:java-17-openjdk-slowdebug;red_hat:java-17-openjdk-src;red_hat:java-17-openjdk-src-fastdebug;red_hat:java-17-openjdk-src-slowdebug;red_hat:java-17-openjdk-static-libs;red_hat:java-17-openjdk-static-libs-fastdebug;red_hat:java-17-openjdk-static-libs-slowdebug;red_hat:java-1.8.0-ibm;red_hat:java-1.8.0-ibm-demo;red_hat:java-1.8.0-ibm-devel;red_hat:java-1.8.0-ibm-headless;red_hat:java-1.8.0-ibm-jdbc;red_hat:java-1.8.0-ibm-plugin;red_hat:java-1.8.0-ibm-src;red_hat:java-1.8.0-ibm-webstart;red_hat:java-1.7.1-ibm;red_hat:java-1.7.1-ibm-demo;red_hat:java-1.7.1-ibm-devel;red_hat:java-1.7.1-ibm-jdbc;red_hat:java-1.7.1-ibm-plugin;red_hat:java-1.7.1-ibm-src;debian:openjdk-17;debian:openjdk-11;debian:openjdk-8;suse:java-11-openjdk;suse:java-11-openjdk-demo;suse:java-11-openjdk-devel;suse:java-11-openjdk-headless;suse:java-1_8_0-ibm;suse:java-1_8_0-ibm-alsa;suse:java-1_8_0-ibm-devel;suse:java-1_8_0-ibm-plugin;suse:java-1_8_0-openjdk;suse:java-1_8_0-openjdk-demo;suse:java-1_8_0-openjdk-devel;suse:java-1_8_0-openjdk-headless;suse:java-11-openjdk-javadoc;suse:java-11-openjdk-jmods;suse:java-17-openjdk;suse:java-17-openjdk-demo;suse:java-17-openjdk-devel;suse:java-17-openjdk-headless;suse:java-1_7_0-openjdk;suse:java-1_7_0-openjdk-demo;suse:java-1_7_0-openjdk-devel;suse:java-1_7_0-openjdk-headless;suse:java-1_7_1-ibm;suse:java-1_7_1-ibm-alsa;suse:java-1_7_1-ibm-devel;suse:java-1_7_1-ibm-jdbc;suse:java-1_7_1-ibm-plugin;suse:java-11-openjdk-accessibility;suse:java-11-openjdk-src;suse:java-15-openjdk;suse:java-15-openjdk-accessibility;suse:java-15-openjdk-demo;suse:java-15-openjdk-devel;suse:java-15-openjdk-headless;suse:java-15-openjdk-javadoc;suse:java-15-openjdk-jmods;suse:java-15-openjdk-src;suse:java-17-openjdk-accessibility;suse:java-17-openjdk-javadoc;suse:java-17-openjdk-jmods;suse:java-17-openjdk-src;suse:java-1_8_0-openjdk-accessibility;suse:java-1_8_0-openjdk-javadoc;suse:java-1_8_0-openjdk-src;suse:java-1_8_0-ibm-32bit;suse:java-1_8_0-ibm-demo;suse:java-1_8_0-ibm-devel-32bit;suse:java-1_8_0-ibm-src;suse:java-1_8_0-openj9;suse:java-1_8_0-openj9-accessibility;suse:java-1_8_0-openj9-demo;suse:java-1_8_0-openj9-devel;suse:java-1_8_0-openj9-headless;suse:java-1_8_0-openj9-javadoc;suse:java-1_8_0-openj9-src;amazon:java-11-amazon-corretto;amazon:java-11-amazon-corretto-headless;amazon:java-11-amazon-corretto-javadoc;amazon:java-1.8.0-openjdk;amazon:java-1.8.0-openjdk-debug;amazon:java-1.8.0-openjdk-headless;amazon:java-1.8.0-openjdk-headless-debug;amazon:java-1.8.0-openjdk-devel;amazon:java-1.8.0-openjdk-devel-debug;amazon:java-1.8.0-openjdk-demo;amazon:java-1.8.0-openjdk-demo-debug;amazon:java-1.8.0-openjdk-src;amazon:java-1.8.0-openjdk-src-debug;amazon:java-1.8.0-openjdk-javadoc;amazon:java-1.8.0-openjdk-javadoc-zip;amazon:java-1.8.0-openjdk-javadoc-debug;amazon:java-1.8.0-openjdk-javadoc-zip-debug;amazon:java-1.8.0-openjdk-accessibility;amazon:java-1.8.0-openjdk-accessibility-debug;amazon:java-1.8.0-openjdk-debuginfo;azul:zulu,"Summary: Multiple vulnerabilities have been discovered in Java SE and Oracle GraalVM Enterprise Edition. These vulnerabilities could allow an unauthenticated attacker to compromise the affected systems and cause a partial denial of service (DOS) or unauthorized access to sensitive data. The vulnerabilities affect various versions of Java SE and Oracle GraalVM Enterprise Edition, and they can be exploited through multiple protocols. Some of the vulnerabilities also require human interaction to be successfully exploited. The impact of these vulnerabilities ranges from low to high, depending on the specific vulnerability. It is recommended to upgrade to the latest available versions of Java SE and Oracle GraalVM Enterprise Edition to mitigate these vulnerabilities. Impact: If these vulnerabilities are exploited, an attacker could compromise the affected systems, cause a partial denial of service (DOS), gain unauthorized access to sensitive data, or bypass JAR signature verification. The impact of each vulnerability varies, but it could result in the loss of confidentiality, integrity, and availability of the affected systems. Remediation: Upgrade to the following versions to mitigate these vulnerabilities:
- Java SE: 7u311, 8u301, 11.0.12, 17
- Oracle GraalVM Enterprise Edition: 20.3.3 and 21.2.0
It is recommended to upgrade to the latest available versions of Java SE and Oracle GraalVM Enterprise Edition. Generated by AI"
CVE-2022-41048,High,8.8,,540,"08 Nov, 2022","27 Feb, 2024","10 Mar, 2023",False,False,False,microsoft:windows_10;microsoft:windows_11;microsoft:windows_7;microsoft:windows_8.1;microsoft:windows_rt;microsoft:windows_server_2008;microsoft:windows_server_2008_r2;microsoft:windows_server_2012;microsoft:windows_server_2012_r2;microsoft:windows_server_2016;microsoft:windows_server_2019;microsoft:windows_server_2022,"Summary: The Microsoft ODBC Driver is vulnerable to remote code execution. An attacker can exploit this vulnerability by persuading a victim to connect to a malicious SQL server via ODBC, allowing them to execute arbitrary code on the victim's machine with the permission level at which Access is running. Impact: If exploited, this vulnerability could allow an attacker to execute arbitrary code on a victim's machine, potentially leading to unauthorized access, data theft, or system compromise. Remediation: Upgrade to the latest version of the Microsoft ODBC Driver. Generated by AI"
