Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
10107,CVE-2021-5556,,None,igmobile.in,tcp,80,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Apache",,,,,None,,IAVT:0001-T-0931,,04-01-2000,30-10-2020,,,
10107,,,None,igmobile.in,tcp,2078,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

cPanel",,,,,None,,IAVT:0001-T-0931,,04-01-2000,30-10-2020,,,
10107,,,None,igmobile.in,tcp,2080,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

cPanel",,,,,None,,IAVT:0001-T-0931,,04-01-2000,30-10-2020,,,
10386,,,None,igmobile.in,tcp,2083,Web Server No 404 Error Code Check,The remote web server does not return 404 error codes.,"The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.",n/a,,"
The following string will be used :
TYPE=""password""",,,,,None,,,,28-04-2000,12-06-2020,,,
10386,,,None,igmobile.in,tcp,2087,Web Server No 404 Error Code Check,The remote web server does not return 404 error codes.,"The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.",n/a,,"
The following string will be used :
TYPE=""password""",,,,,None,,,,28-04-2000,12-06-2020,,,
10386,,,None,igmobile.in,tcp,2096,Web Server No 404 Error Code Check,The remote web server does not return 404 error codes.,"The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.",n/a,,"
The following string will be used :
TYPE=""password""",,,,,None,,,,28-04-2000,12-06-2020,,,
10662,,,None,igmobile.in,tcp,80,Web mirroring,Nessus can crawl the remote website.,"This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.",n/a,,"Webmirror performed 92 queries in 72s (1.0277 queries per second)

The following CGIs have been discovered :


+ CGI : /wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfont.woff2
  Methods : GET
  Argument : ver
   Value: xu2uyi


+ CGI : /xmlrpc.php
  Methods : GET
  Argument : 
   Value: rsd


+ CGI : /
  Methods : GET
  Argument : p
   Value: 11


+ CGI : /wp-json/oembed/1.0/embed
  Methods : GET
  Argument : format
   Value: xml
  Argument : url
   Value: https%3A%2F%2Figmobile.in%2Fcart%2F",,,,,None,,,,04-05-2001,20-04-2021,,,
10662,,,None,igmobile.in,tcp,443,Web mirroring,Nessus can crawl the remote website.,"This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.",n/a,,"Webmirror performed 386 queries in 1043s (0.0370 queries per second)

The following CGIs have been discovered :


+ CGI : /
  Methods : GET
  Argument : add-to-cart
   Value: 419
  Argument : p
   Value: 319
  Argument : post_type
   Value: product
  Argument : s


+ CGI : /wp-content/plugins/ti-woocommerce-wishlist/assets/fonts/tinvwl-webfont.woff2
  Methods : GET
  Argument : ver
   Value: xu2uyi


+ CGI : /xmlrpc.php
  Methods : GET
  Argument : 
   Value: rsd


+ CGI : /wp-json/oembed/1.0/embed
  Methods : GET
  Argument : format
   Value: xml
  Argument : url
   Value: https%3A%2F%2Figmobile.in%2Fproduct%2Fvivo-v20-pro%2F


+ CGI : /track-orders/
  Methods : POST
  Argument : _wp_http_referer
   Value: /track-orders/
  Argument : order_email
  Argument : orderid
  Argument : woocommerce-order-tracking-nonce
   Value: 5ebc16c8fb


+ CGI : /shop/
  Methods : GET
  Argument : add-to-cart
   Value: 419
  Argument : max_price
   Value: 74000
  Argument : min_price
   Value: 140
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /shop
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-category/new-mobile/
  Methods : GET
  Argument : add-to-cart
   Value: 419
  Argument : max_price
   Value: 74000
  Argument : min_price
   Value: 29990
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-category/new-mobile
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-category/
  Methods : GET
  Argument : add-to-cart
   Value: 419


+ CGI : /product-category/old-mobile/
  Methods : GET
  Argument : add-to-cart
   Value: 409
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-category/old-mobile
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-category/accessories/
  Methods : GET
  Argument : add-to-cart
   Value: 423
  Argument : max_price
   Value: 150
  Argument : min_price
   Value: 140
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-category/accessories
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-category/smart-watch/
  Methods : GET
  Argument : add-to-cart
   Value: 511
  Argument : max_price
   Value: 5000
  Argument : min_price
   Value: 4990
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-category/smart-watch
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /best-mobile-shops-in-junagadh/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/
  Argument : email
  Argument : password
  Argument : rememberme
   Value: forever
  Argument : username
  Argument : woocommerce-login-nonce
   Value: f33597ddf7
  Argument : woocommerce-register-nonce
   Value: 6fcaf4778f


+ CGI : /product/oneplus-7-pro/
  Methods : GET,POST
  Argument : add-to-cart
   Value: 401
  Argument : quantity
   Value: 1


+ CGI : /wp-comments-post.php
  Methods : POST
  Argument : author
  Argument : comment
  Argument : comment_parent
   Value: 0
  Argument : comment_post_ID
   Value: 419
  Argument : email
  Argument : rating
   Value: 2
  Argument : submit
   Value: Submit
  Argument : wp-comment-cookies-consent
   Value: yes


+ CGI : /product/
  Methods : GET,POST
  Argument : add-to-cart
   Value: 419
  Argument : quantity
   Value: 1


+ CGI : /product/oppo-reno5-pro-5g/
  Methods : GET,POST
  Argument : add-to-cart
   Value: 419
  Argument : quantity
   Value: 1


+ CGI : /product/realme-watch-s/
  Methods : POST
  Argument : add-to-cart
   Value: 511
  Argument : quantity
   Value: 1


+ CGI : /product/samsung-galaxy-s21-5g/
  Methods : GET,POST
  Argument : add-to-cart
   Value: 419
  Argument : quantity
   Value: 1


+ CGI : /product/ubon-thunder-bass-earphone/
  Methods : POST
  Argument : add-to-cart
   Value: 423
  Argument : quantity
   Value: 1


+ CGI : /product-category/accessories/earphone/
  Methods : GET
  Argument : add-to-cart
   Value: 423
  Argument : max_price
   Value: 150
  Argument : min_price
   Value: 140
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-category/accessories/earphone
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product/vivo-v20-pro/
  Methods : GET,POST
  Argument : add-to-cart
   Value: 419
  Argument : quantity
   Value: 1


+ CGI : /best-mobile-shops-in-junagadh/lost-password/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /product-tag/256gb-storage/
  Methods : GET
  Argument : add-to-cart
   Value: 409
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/256gb-storage
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/
  Methods : GET
  Argument : add-to-cart
   Value: 419


+ CGI : /product-tag/8gb-ram/
  Methods : GET
  Argument : add-to-cart
   Value: 401
  Argument : max_price
   Value: 35990
  Argument : min_price
   Value: 28000
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/8gb-ram
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/oneplus/
  Methods : GET
  Argument : add-to-cart
   Value: 409
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/oneplus
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/oneplus-7-pro/
  Methods : GET
  Argument : add-to-cart
   Value: 409
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/oneplus-7-pro
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/oneplus-7-pro-almond/
  Methods : GET
  Argument : add-to-cart
   Value: 409
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/oneplus-7-pro-almond
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /cgi-sys/IndiaRecaptcha.cgi
  Methods : GET,POST
  Argument : command
  Argument : commandtotal284
   Value: 5
  Argument : submit
   Value: submit
  Argument : url
   Value: /wp-comments-post.php


+ CGI : /product-tag/128gb-storage/
  Methods : GET
  Argument : add-to-cart
   Value: 401
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/128gb-storage
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/astral-blue/
  Methods : GET
  Argument : add-to-cart
   Value: 401
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/astral-blue
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/oppo/
  Methods : GET
  Argument : add-to-cart
   Value: 401
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/oppo
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/oppo-reno/
  Methods : GET
  Argument : add-to-cart
   Value: 401
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/oppo-reno
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/realme-watch/
  Methods : GET
  Argument : add-to-cart
   Value: 511
  Argument : max_price
   Value: 5000
  Argument : min_price
   Value: 4990
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/realme-watch
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/realme-watch-s/
  Methods : GET
  Argument : add-to-cart
   Value: 511
  Argument : max_price
   Value: 5000
  Argument : min_price
   Value: 4990
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/realme-watch-s
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/5g/
  Methods : GET
  Argument : add-to-cart
   Value: 382
  Argument : max_price
   Value: 74000
  Argument : min_price
   Value: 73990
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/5g
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/samsung/
  Methods : GET
  Argument : add-to-cart
   Value: 382
  Argument : max_price
   Value: 74000
  Argument : min_price
   Value: 73990
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/samsung
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/samsung-s21/
  Methods : GET
  Argument : add-to-cart
   Value: 382
  Argument : max_price
   Value: 74000
  Argument : min_price
   Value: 73990
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/samsung-s21
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/earphone/
  Methods : GET
  Argument : add-to-cart
   Value: 423
  Argument : max_price
   Value: 150
  Argument : min_price
   Value: 140
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/earphone
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/v20/
  Methods : GET
  Argument : add-to-cart
   Value: 419
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/v20
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/v20-pro/
  Methods : GET
  Argument : add-to-cart
   Value: 419
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/v20-pro
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/v20-se/
  Methods : GET
  Argument : add-to-cart
   Value: 419
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/v20-se
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /product-tag/vivo/
  Methods : GET
  Argument : add-to-cart
   Value: 419
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1
  Argument : products-per-page
   Value: all


+ CGI : /product-tag/vivo
  Methods : GET
  Argument : orderby
   Value: price-desc
  Argument : paged
   Value: 1


+ CGI : /best-mobile-shops-in-junagadh/lost-password/fetch/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/fetch/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/objectFit/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/objectFit/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/fetch/fetch/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/fetch/fetch/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/fetch/objectFit/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/fetch/objectFit/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/objectFit/fetch/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/objectFit/fetch/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/objectFit/objectFit/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/objectFit/objectFit/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/fetch/fetch/fetch/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/fetch/fetch/fetch/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/fetch/fetch/objectFit/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/fetch/fetch/objectFit/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/fetch/objectFit/fetch/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/fetch/objectFit/fetch/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/fetch/objectFit/objectFit/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/fetch/objectFit/objectFit/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/objectFit/fetch/fetch/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/objectFit/fetch/fetch/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/objectFit/fetch/objectFit/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/objectFit/fetch/objectFit/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/objectFit/objectFit/fetch/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/objectFit/objectFit/fetch/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51


+ CGI : /best-mobile-shops-in-junagadh/lost-password/objectFit/objectFit/objectFit/
  Methods : POST
  Argument : _wp_http_referer
   Value: /best-mobile-shops-in-junagadh/lost-password/objectFit/objectFit/objectFit/
  Argument : user_login
  Argument : wc_reset_password
   Value: true
  Argument : woocommerce-lost-password-nonce
   Value: 6e90118f51",,,,,None,,,,04-05-2001,20-04-2021,,,
10662,,,None,igmobile.in,tcp,2083,Web mirroring,Nessus can crawl the remote website.,"This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.",n/a,,"Webmirror performed 24 queries in 52s (0.0461 queries per second)

The following CGIs have been discovered :


+ CGI : /
  Methods : GET
  Argument : locale
   Value: zh_tw


+ CGI : /resetpass
  Methods : GET,POST
  Argument : login
   Value: Reset Password
  Argument : start
   Value: 1
  Argument : user


+ CGI : /login/
  Methods : POST
  Argument : pass
  Argument : user


+ CGI : /.
  Methods : GET
  Argument : locale
   Value: zh_tw",,,,,None,,,,04-05-2001,20-04-2021,,,
10662,,,None,igmobile.in,tcp,2087,Web mirroring,Nessus can crawl the remote website.,"This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.",n/a,,"Webmirror performed 17 queries in 31s (0.0548 queries per second)

The following CGIs have been discovered :


+ CGI : /
  Methods : GET
  Argument : locale
   Value: zh_tw


+ CGI : /login/
  Methods : POST
  Argument : pass
  Argument : user


+ CGI : /.
  Methods : GET
  Argument : locale
   Value: zh_tw",,,,,None,,,,04-05-2001,20-04-2021,,,
