Policy Name,Policy Type,Policy Severity,Cloud Type,Cloud Account Name,Cloud Account Id,Cloud Account Group,Status,Failed Resource Count
AWS EBS snapshots are accessible to public,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS Amazon Machine Image (AMI) is publicly accessible,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,fail,18
AWS S3 bucket publicly writable,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS KMS Key policy overly permissive,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS S3 bucket publicly readable,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS IAM policy allows assume role permission across all services,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,fail,1
AWS CloudTrail bucket is publicly accessible,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS route table with VPC peering overly permissive to all traffic,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS Security Group allows all traffic on FTP port (21),config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS IAM policy is overly permissive to all traffic via condition clause,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS Security Group allows all traffic on MSQL port (4333),config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS Security Group allows all traffic on SQL Server port (1434),config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS CloudFront viewer protocol policy is not configured with HTTPS,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS Security Group allows all traffic on ICMP (Ping) protocol,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
Account hijacking attempts,anomaly,HIGH,AWS,AWS Account,034025401910,Default Account Group,fail,1
AWS Security Group allows all traffic on VNC Server port (5900),config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS SageMaker notebook instance IAM policy overly permissive to all traffic,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
AWS SQS queue access policy is overly permissive,config,HIGH,AWS,AWS Account,034025401910,Default Account Group,fail,2
AWS Security Group allows all traffic on VNC Listener port (5500),config,HIGH,AWS,AWS Account,034025401910,Default Account Group,pass,0
