Scan Source,IP,DNS,NetBIOS,OS Group,OS Group Details,OS,QID,Title,Priority,Severity,Port,Protocol,First Detected,Last Detected,CVE ID,Threat,Impact,Solution,Results,Age,Age Bucket,SLA Status,Public Exploit Available,OS/Non-OS,Patch/Config,New?,Tags
On Prem - Internal,10.80.110.18,dmi13cel06a.core.pimcocloud.net,,Undefined,Undefined_Linux,EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM / FortiSOAR,38172,SSL Certificate - Improper Usage Vulnerability,Medium,2,443,tcp,44253,44688,,"An SSL Certificate associates an entity (person, organization, host, etc.) with a Public Key. In an SSL connection, the client authenticates the remote server using the server's Certificate and extracts the Public Key in the Certificate to establish the secure connection.
 
The basicConstraints section of the certificate may specify if it is a Certificate Authority (CA) certificate. Also, the keyUsage field in the X509v3 extensions section of the certificate, if present, may restrict the usage of the certificate.
 
In general, a server public key should not be used for Certificate or CRL signing, a client or CA certificate should be not used as a server certificate.","If the keyUsage or the basicConstraint field is designated as a critical parameter in the certificate, the client may abort the communication if the usage validation fails.",Please install a server certificate with correct usage.,"Certificate #0 C=US,ST=California,L=Redwood_City,O=Oracle_Corporation,OU=Oracle_Exadata,CN=dmi13cel06a.core.pimcocloud.net is not suitable for CRL signing.#",437,6. 1-2 Years,Outside SLA,No,Non-OS,Config,No,A
On Prem - Internal,144.77.86.34,prodpmcf226.pimco.imswest.sscims.com,,Unix/Linux,CatchAll,Red Hat Enterprise Linux Server 7.9,376187,Apache Log4j 1.2 Remote Code Execution Vulnerability,Critical,4,,,44688,44688,CVE-2021-4104,"Apache Log4j is a Java-based logging utility. It is part of the Apache Logging Services, a project of the Apache Software Foundation. 
The JMSAppender in Log4j 1.2 is vulnerable to deserialization of untrusted data when the attacker has write access to the Log4j configuration. 
 The attacker can provide TopicBindingName and TopicConnectionFactoryBindingName configurations causing JMSAppender to perform JNDI requests that result in remote code execution in a similar fashion to CVE-2021-44228. 

 Affected versions: 
Log4j version 1.2  

 QID Detection: (Authenticated) - Linux 
This detection is based on querying the OS package managers on the target. If the target has a log4j package with a version in 1.2, the target is flagged as potentially vulnerable. 

QID Detection: (Authenticated) - Windows 
On Windows system, the QID identifies vulnerable instance of log4j via WMI to check log4j included in the running processes via command-line.",Successful exploitation of this vulnerability could lead to  remote code execution (RCE) on the target.,"Customers are advised to upgrade their Log4j to the version in 2.16. If updating the version is not possible, please refer to the mitigations mentioned here Log4j (https://logging.apache.org/log4j/2.x/security.html). Workaround: Audit your logging configuration to ensure it has no JMSAppender configured. Log4j 1.2 configurations without JMSAppender are not impacted by this vulnerability. 
Log4j 1.x does not have Lookups, so the risk is lower. Applications using Log4j 1.x are only vulnerable to this attack when they use JNDI in their configuration. 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Log4j 1.2 (https://logging.apache.org/log4j/2.x/security.html#)","PATH	VERSION	JMS_CLASS_STATUS	BASE_DIR
/base/symphony/sym7211/wlp/usr/shared/resources/rest/3.7/log4j-1.2.16.jar	1.2.16	JMSAppender CLASS FOUND	/base/symphony/sym7211
/base/symphony/sym7211/gui/3.7/lib/log4j-1.2.16.jar	1.2.16	JMSAppender CLASS FOUND	/base/symphony/sym7211
/base/symphony/sym7211/3.7/hostfactory/providers/common/lib/log4j-1.2.16.jar	1.2.16	JMSAppender CLASS FOUND	/base/symphony/sym7211
/base/symphony/old_sym721/3.7/hostfactory/providers/common/lib/log4j-1.2.16.jar	1.2.16	JMSAppender CLASS FOUND	/base/symphony/old_sym721
/base/symphony/sym7211/perf/3.7/lib/log4j-1.2.16.jar	1.2.16	JMSAppender CLASS FOUND	/base/symphony/sym7211#",2,1. 0-30 Days,Inside SLA,No,Non-OS,Patch,No,B
On Prem - Internal,10.140.114.138,,,Undefined,Undefined_Linux,Ubuntu / Tiny Core Linux / Linux 2.6.x,38794,Secure Sockets Layer/Transport Layer Security (SSL/TLS) Server Supports Transport Layer Security (TLSv1.1),Medium,1,443,tcp,44226,44688,,"The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake. 

NOTE: On March 31, 2021 Transport Layer Security (TLS) versions 1.0 (RFC 2246) and 1.1 (RFC 4346) are formally deprecated.
Refer to Deprecating TLS 1.0 and TLS 1.1 (https://tools.ietf.org/html/rfc8996)","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1",TLSv1.1 is supported#,464,6. 1-2 Years,Outside SLA,No,Non-OS,Patch,No,C
On Prem - Internal,10.155.62.140,clv335pl-5fad99.core.pimcocloud.net,,Unix/Linux,CatchAll,Red Hat Enterprise Linux Server 7.9,372508,Oracle Java SE Critical Patch Update - April 2020,Critical,4,,,44688,44688,"CVE-2020-2803, CVE-2020-2805, CVE-2019-18197, CVE-2020-2816, CVE-2020-2781, CVE-2020-2830, CVE-2020-2767, CVE-2020-2800, CVE-2020-2778, CVE-2020-2764, CVE-2020-2754, CVE-2020-2755, CVE-2020-2773, CVE-2020-2756, CVE-2020-2757","Oracle Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages. 
Oracle Java JRE and JDK contain multiple remotely exploitable vulnerabilities that affect various components. 
Affected Versions: 
Oracle Java JDK and JRE, versions Java SE:  versions 7u251, 8u241, 11.0.6, 14; Java SE Embedded: 8u241 and prior 
QID Detection Logic (Authenticated): 
This QID checks for the file or product version of jvm.dll or wsdetect.dll or verify.dll.","Successful exploitation allows an unauthenticated, remote attacker to execute arbitrary code on the targeted system.","The vendor has released updates to resolve these issues. 
 
Customers are advised to refer to vendor advisory Oracle Java SE CPU - April 2020 (https://www.oracle.com/security-alerts/cpuapr2020.html#AppendixJAVA) 
 
Updates for Java 7 are no longer available to the public. Oracle offers updates to Java 7 only for customers who have purchased Java support or have Oracle products that require Java 7.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle Critical Patch Update Advisory - April 2020 (https://www.oracle.com/security-alerts/cpuapr2020.html#AppendixJAVA)","Install Location	Version	Detection Type
/usr/lib/jvm/jdk1.7.0_79/bin/java	1.7.0_79-b15	Default
/usr/lib/jvm/jdk1.7.0_79/jre/bin/java	1.7.0_79-b15	Enhanced#",2,1. 0-30 Days,Inside SLA,No,Non-OS,Patch,No,D
On Prem - Internal,10.155.54.176,clv235bl-d2978f.core.pimcocloud.net,,Unix/Linux,Linux_RHEL,Red Hat Enterprise Linux Server 7.9,371528,Oracle Java SE Critical Patch Update - January 2019,Critical,4,,,44415,44688,"CVE-2018-11212, CVE-2019-2426, CVE-2019-2449, CVE-2019-2422","Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages.
 
JRE and JDK are exposed to multiple vulnerabilities that affect various components. Oracle's Java Critical Patch Update for January 2019 contains 5 new security fixes for Oracle Java SE. 

Affected Versions: 
Oracle Java JDK and JRE, versions prior to 7u211, 8u201 and 11.0.2.
 
QID Detection Logic (Authenticated): 
This QID checks for the file or product version of jvm.dll or wsdetect.dl or verify.dll.",Exploitation could allow an attacker to take complete control of an affected system.,"The vendor released updates (Java SE JDK and JRE 11.0.2, Java 8 Update 201 or later, Java SE JDK and JRE 7 Update 211) to resolve these issues. 
 
Refer to vendor advisory Oracle Java SE CPU January 2019 (https://www.oracle.com/technetwork/security-advisory/cpujan2019-5072801.html#AppendixJAVA) and Oracle Doc ID 2485170.1 (https://support.oracle.com/rs?type=doc&id=2485170.1) to obtain more details.
 
Updates for Java 7 are no longer available to the public. Oracle offers updates to Java 7 only for customers who have purchased Java support or have Oracle products that require Java 7.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle Doc ID 2485170.1 (https://support.oracle.com/rs?type=doc&id=2485170.1)","Install Location	Version	Detection Type
/usr/lib/jvm/jdk1.7.0_79/bin/java	1.7.0_79-b15	Default
/base/vendor/CA/AUTOSYS/jre/bin/java	1.8.0_112-b15	Enhanced
/usr/lib/jvm/jdk1.7.0_79/jre/bin/java	1.7.0_79-b15	Enhanced#",275,5. 180-365 Days,Outside SLA,No,Non-OS,Patch,No,E
On Prem - Internal,144.77.119.70,vmw10amer-p2281.pimco.imswest.sscims.com,VMW10AMER-P2281,Windows Workstation,Windows_Workstation_10,Windows 10 Enterprise LTSC 2019 64 bit Edition Version 1809,375729,Oracle Java SE Critical Patch Update - July 2021 (CPUJUL2021),Serious,3,,,44416,44688,"CVE-2021-2388, CVE-2021-2369, CVE-2021-2432, CVE-2021-2341","Oracle Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages. 
Oracle Java JRE and JDK contain multiple remotely exploitable vulnerabilities that affect various components. 
Affected Versions: 
Oracle Java JDK and JRE, versions 7u301, 8u291, 11.0.11, 16.0.1 and prior 

QID Detection Logic (Authenticated): 
Operating System: Windows
This QID checks for the file or product version of jvm.dll or wsdetect.dll or verify.dll. 

QID Detection Logic (Authenticated): 
Operating System: Linux
This QID checks product version from the java binary.","Successful exploitation could allow an attacker to affect the confidentiality, integrity and availability of data on the target system.","The vendor has released updates to resolve these issues. 
 
Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - July 2021 (https://www.oracle.com/security-alerts/cpujul2021.html#AppendixJAVA) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle Critical Patch Update Advisory - July 2021 (https://www.oracle.com/security-alerts/cpujul2021.html#AppendixJAVA)","C:\Program Files\Java\jre1.8.0_231\bin\wsdetect.dll file version is 8.0.2310.11
C:\Program Files (x86)\Java\jre1.8.0_231\bin\wsdetect.dll file version is 8.0.2310.11#",274,5. 180-365 Days,Outside SLA,No,Non-OS,Patch,No,F
On Prem - Internal,10.155.12.25,clv435pw-e9fbb0.core.pimcocloud.net,CLV435PW-E9FBB0,Windows Server,Windows_Server_2012,Windows Server 2012 R2 Standard 64 bit Edition,90019,Detected LanMan/NTLMv1 Authentication method,Critical,4,,,44443,44688,,"This system currently uses LanMan or NTLMv1 Authentication. 

QID Detection Logic: (Authenticated) 
Operating System: Windows
The QID checks for the registry keys HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa value 'LMCompatibilityLevel' is not equal to ""3"". 
The QID checks for the NoLMHash keys: 
1) For Windows 2000 SP2 and later,if key HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\NoLMHash is missing: 
2) For Windows XP and Windows 2003, if key HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa\NoLMHash is not equal to '1':","LanMan or NTLMv1 Authentication is a weak method for encrypting passwords.
Unauthorized users can sniff the network and guess LanMan Authentication-encrypted passwords to obtain complete access to the target.","We recommended that you only use the NTLM Authentication method. Please note, however, that disabling the LM Hash (LanMan) will render the system incompatible with other systems, such as Windows 95/98.
 
To disable LM Hash and NTLMv1, locate the following registry key, and then set the REG_DWORD 'LMCompatibilityLevel' entry to '3':
 
HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Lsa
 
Implement the NoLMHash Policy by: 
1) For Windows 2000 SP2 and later, locate the following registry key and add the key 'NoLMHash': 
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa 
2) For Windows XP and Windows 2003, locate the following registry key, and then set the REG_DWORD 'NoLMHash' entry to '1': 
HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Lsa 

Please refer LAN Manager authentication level (https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-security-lan-manager-authentication-level#countermeasure) and Prevent Windows from storing a LAN manager hash (https://support.microsoft.com/en-us/help/299656/how-to-prevent-windows-from-storing-a-lan-manager-hash-of-your-passwor) for more details.",HKLM\System\CurrentControlSet\Control\Lsa LMCompatibilityLevel = 1#,247,5. 180-365 Days,Outside SLA,No,OS,Config,No,G
On Prem - Internal,144.77.69.59,vmh001d9.pimco.imswest.sscims.com,VMH001D9,Windows Server,Windows_Server_2008,Windows Server 2008 R2 Enterprise 64 bit Edition Service Pack 1,90043,SMB Signing Disabled or SMB Signing Not Required,Serious,3,,,43820,44687,,"This host does not seem to be using SMB (Server Message Block) signing. SMB signing is a security mechanism in the SMB protocol and is also known as security signatures. SMB signing is designed to help improve the security of the SMB protocol.
 
SMB signing adds security to a network using NetBIOS, avoiding man-in-the-middle attacks.
 
When SMB signing is enabled on both the client and server SMB sessions are authenticated between the machines on a packet by packet basis. 

QID Detection Logic: 
This checks from the registry value of RequireSecuritySignature and EnableSecuritySignature form  HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LanmanWorkStation\Parameters for client  and HKEY_LOCAL_MACHINE\System\CurrentControlSetServices\LanmanServer\Parameters for servers to check if SMB signing is required or enabled or disabled. 

Note: On 5/28/2020 the QID was updated to check for client SMB signing behavior via the registry key HKEY_LOCAL_MACHINE\SystemCurrent\ControlSetServices\LanmanWorkStation\Parameters. The complete detection logic is explained above.","Unauthorized users sniffing the network could catch many challenge/response exchanges and replay the whole thing to grab particular session keys, and then authenticate on the Domain Controller.","Without SMB signing, a device could intercept SMB network packets from an originating computer, alter their contents, and broadcast them to the destination computer. Since, digitally signing the packets enables the recipient of the packets to confirm their point of origination and their authenticity, it is recommended that SMB signing is enabled and required.
 
Please refer to Microsoft's article 887429 (http://support.microsoft.com/kb/887429) and The Basics of SMB Signing (covering both SMB1 and SMB2) (https://docs.microsoft.com/en-us/archive/blogs/josebda/the-basics-of-smb-signing-covering-both-smb1-and-smb2)  for information on enabling SMB signing. 
 
For Windows Server 2008 R2, Windows Server 2012, please refer to Microsoft's article Require SMB Security Signatures (http://technet.microsoft.com/en-us/library/cc731957.aspx) for information on enabling SMB signing. For group policies please refer to Microsoft's article Modify Security Policies in Default Domain Controllers Policy (http://technet.microsoft.com/en-us/library/cc731654)
 
For UNIX systems 

To require samba clients running ""smbclient"" to use packet signing, add the following to the ""[global]"" section of the Samba configuration file:  

client signing = mandatory",HKLM\System\CurrentControlSet\Services\LanManWorkstation\Parameters requiresecuritysignature = 0#,870,7. 2+ Years,Outside SLA,No,OS,Config,No,H
On Prem - Internal,144.77.102.31,vma001p168.pimco.imswest.sscims.com,VMA001P168,Windows Server,Windows_Server_2012,Windows Server 2012 R2 Standard 64 bit Edition,373156,Oracle Java SE Critical Patch Update - July 2020(CPUJUL2020),Critical,4,,,44045,44688,"CVE-2020-14664, CVE-2020-14583, CVE-2020-14593, CVE-2020-14562, CVE-2020-14621, CVE-2020-14556, CVE-2020-14573, CVE-2020-14581, CVE-2020-14578, CVE-2020-14579, CVE-2020-14577","Oracle Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages. 
Oracle Java JRE and JDK contain multiple remotely exploitable vulnerabilities that affect various components. 

Affected Versions: 
Oracle Java JDK and JRE, versions Java SE: 8u251, 11.0.7 and 14.0.1 and prior; Java SE Embedded: 8u251 and prior 

QID Detection Logic (Authenticated): 
This QID checks for the file or product version of jvm.dll or wsdetect.dll or verify.dll.",Successful exploit allows unauthenticated attacker with network access via multiple protocols to compromise Java SE.,"The vendor has released updates to resolve these issues. 
 
Customers are advised to refer to vendor advisory Oracle Java SE CPU - July 2020 (https://www.oracle.com/security-alerts/cpujul2020.html#AppendixJAVA) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle Critical Patch Update Advisory - July 2020 (https://www.oracle.com/security-alerts/cpujul2020.html#AppendixJAVA)","C:\Program Files\Java\jre1.8.0_201\bin\wsdetect.dll file version is 8.0.2010.9
C:\Program Files\Java\jdk1.8.0_201\jre\bin\wsdetect.dll file version is 8.0.2010.9#",645,6. 1-2 Years,Outside SLA,No,Non-OS,Patch,No,I
On Prem - Internal,10.80.96.203,msw10nb-00eec3.pimco.imswest.sscims.com,MSW10NB-00EEC3,Windows Workstation,Windows_Workstation_10,Windows 10 Enterprise LTSC 2019 64 bit Edition Version 1809,376252,Oracle Java Standard Edition (SE) Critical Patch Update - January 2022 (CPUJAN2022),Serious,3,,,44674,44687,"CVE-2022-21349, CVE-2022-21291, CVE-2022-21305, CVE-2022-21277, CVE-2022-21360, CVE-2022-21365, CVE-2022-21366, CVE-2022-21282, CVE-2022-21296, CVE-2022-21299, CVE-2022-21271, CVE-2022-21283, CVE-2022-21293, CVE-2022-21294, CVE-2022-21340, CVE-2022-21341, CVE-2022-21248","Oracle Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages. 
Oracle Java JRE and JDK contain multiple remotely exploitable vulnerabilities that affect various components. 
Affected Versions: 
Oracle Java JDK and JRE, versions 7u331, 8u321, 11.0.13, 17.0.1 and prior 

QID Detection Logic (Authenticated): 
Operating System: Windows 
This QID checks for the file or product version of jvm.dll or wsdetect.dll or verify.dll. 

QID Detection Logic (Authenticated): 
Operating System: Linux 
This QID checks product version from the java binary.","Successful exploitation could allow an attacker to affect the confidentiality, integrity and availability of data on the target system.","The vendor has released updates to resolve these issues. 
 
Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - January 2022 (https://www.oracle.com/security-alerts/cpujan2022.html#AppendixJAVA) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle Critical Patch Update Advisory - January 2022 (https://www.oracle.com/security-alerts/cpujan2022.html)","C:\Program Files\Java\jre1.8.0_231\bin\wsdetect.dll file version is 8.0.2310.11
C:\Program Files (x86)\Java\jre1.8.0_231\bin\wsdetect.dll file version is 8.0.2310.11#",16,1. 0-30 Days,Inside SLA,No,Non-OS,Patch,Yes,J
