Phase,Task ID,Task Title,Priority,Description,Completion Status,Tags,Problem ID,Problem Title,Risk Rating,Business Unit,Application,Project,Project Attributes,Issue Tracker Tickets,Why is this Countermeasure included?
Testing,T1039,Test that homoglyphs are distinguishable in the application's output,5,"Some glyphs, pictures, or icons can be semantically distinct to a program while appearing very similar or identical to a human user. These are referred to as homoglyphs. For example, in some fonts, the lowercase ""l"" (ell) and uppercase ""I"" (eye) may look identical while they have different character codes. A program can recognize that they are different, but these characters can be displayed in exactly the same way to a user. This can also occur between different character sets. For example, the upper case Latin ""A"" and upper case Greek ""A"" are treated as distinct by programs but may be displayed in exactly the same way to a user.

Adversaries can exploit this visual similarity for attacks such as phishing, such as by providing a link to an attacker-controlled hostname that looks like a hostname that the victim trusts. In a different use of homoglyphs, an adversary may create a backdoor username that is visually similar to the username of a regular user, which then makes it more difficult for a system administrator to detect the malicious username while reviewing logs.

Use the following guidelines for testing whether homoglyphs are distinguishable in output:

- Identify important areas of the application such as information pages and log pages that display sensitive information like names and identifiers.
    - Pay more attention to the areas that display data that is provided by users.
- On behalf of a user, submit some data to be shown in the identified areas, once using regular characters, and a second time using homoglyph characters.
    - For example, you can use characters from different Unicode character sets that look identical.
- Make sure the data shown in the application is distinguishable in those two cases. Otherwise, this test __fails__.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1039/",Incomplete,,P1013,Insufficient Visual Distinction of Homoglyphs Presented to User,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Requirements,T271,Prevent access to Android components if they do not need external communication,6,"Failing to restrict access to an Android component or failing to validate the source of a received Intent in Android can result in undesirable consequences, since components can freely send Intents to other components when the target components are exported.

Any component can send an explicit Intent to another exported component. In particular, if content providers make wrong assumptions about the source of the Intent they run the risk of providing information to an unauthorized caller.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/926
) - http://cwe.mitre.org/data/definitions/939
)

Android allows components to receive requests from other components. This includes components such as activity, service, content provider, and broadcast receiver.

- If the component does not need to be launched by external callers, or does not need external communication by means of Intents, set the `android:exported` property for the component to `false` in Android manifest file.
    - See the details in the note below for specific components.
    - Go through all <activity>, <activity-alias>, <service>, <provider> and <receiver> nodes in the Android manifest file and set `android:exported` to `false`.

- Remove **intent filters** if the component is not exported.
    - In Android 11 and earlier, having intent filters makes the component exported by default if `android:exported` is not specified.
    - If your app targets Android 12 and later and contains activities, services, or broadcast receivers that use intent filters, you must explicitly declare the `android:exported` attribute for these app components, othewise your app can't be installed on a device that runs Android 12.

- __Pay special attention to the content providers and make sure they are not exported if not needed.__


__Note__: 

See the Android API guide [App Manifest](http://developer.android.com/guide/topics/manifest/manifest-intro.html), or the links below.

[activity](http://developer.android.com/guide/topics/manifest/activity-element.html): Whether or not the activity can be launched by components of other applications : ""true"" if it can be, and ""false"" if not.

- If ""false"", the activity can be launched only by components of the same application or applications with the same user ID (UID).

[service](http://developer.android.com/guide/topics/manifest/service-element.html): Whether or not components of other applications can invoke the service or interact with it : ""true"" if they can, and ""false"" if not.

- If ""false"", only components of the same application or applications with the same user ID can start the service or bind to it.

[receiver](http://developer.android.com/guide/topics/manifest/receiver-element.html): Whether or not the broadcast receiver can receive messages from sources outside its application : ""true"" if it can, and ""false"" if not.
    
- If ""false"", the only messages the broadcast receiver can receive are those sent by components of the same application or applications with the same UID.

[provider](http://developer.android.com/guide/topics/manifest/provider-element.html): Whether the content provider is available for other applications to use:
    
- true: The provider is available to other applications. Any application can use the provider's content URI to access it, subject to the permissions specified for the provider.
- false: The provider is not available to other applications. Set `android:exported=""false""` to limit access to the provider to your applications. Only applications that have the same UID as the provider will have access to it.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T271/",Incomplete,,P759,Improper authorization of source of an Android Intent,6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Platform and Language > Platform/Operating System > Platform > Android AND
• New transactions / use cases (Hidden Answer) AND
• Changes to inbound/outbound interfaces (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Platform and Language > Platform/Operating System > Platform > Android AND
• Changes to inbound/outbound interfaces (Hidden Answer)"
Testing,T412,Test that use of Android third-party keyboards is managed,4,"Android third party keyboards can capture the entire text that is entered using them, including sensitive data and user passwords. They can then send this data over the network with sufficient permissions. Most keyboards ask for network permissions to improve user experience. Therefore, it is not uncommon for a keyboard to request Internet access permission.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/200
) - http://cwe.mitre.org/data/definitions/201
)

Use the following guidelines for testing that Android third-party keyboards are managed:

- Identify input boxes that can be used to enter confidential or sensitive data, such as editable text boxes asking for passwords or personal information.

- Install and use a third-party keyboard that is not well-known and is not in your application's whitelist.  Consult developers for the whitelist.

- Depending on the application's policy, if you do not receive a warning that states the risks or the action is not terminated, this test __fails__.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T412/",Incomplete,,P770,Leak of sensitive data through Android third party keyboards,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)"
Requirements,T50,Use indirect object reference maps if accessing files,8,"The application's authorization process is bypassed by an attacker who is able to retrieve user records. This occurs when a key used to identify a user's record is exploited by an attacker to look up information on its owner. The authorization process does not properly check whether the malicious user has permission to perform this action because the key being exploited belongs to an authorized user, and the malicious user has likely been legitimately authenticated by the system.

An example of this is when a system uses sequential, or other guessable, session IDs that allow one user to easily switch to another user's session and view or modify their data.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/639
) - http://cwe.mitre.org/data/definitions/932
)

Always use indirect references for accessing a specific object, such as a database record or a file. This practice prevents IDOR (Insecure Direct Object Reference) attacks.

Direct object references use a direct ID such as an actual file name like `""file=statement1.pdf""` in the URL parameters. Alternatively, indirect object references provide a separate identifier that the application later translates into an actual ID, such as `""file=a""`, where `'a'` is later translated to `'statement1.pdf'`.

Direct object references introduce a weakness that allows attackers to change the URL and access objects that should be off limits, such as `""file=../config.xml""`. An indirect object reference makes this attack impossible because the application can only provide access to a certain set of objects, such as all files in a particular directory or a predefined list of individual database records.

This control applies specifically to resources that require access control. Publicly accessible static content that is normally stored on web servers does not necessarily need this protection.

If direct object references must be facilitated, such as a filename, restrict the path to a single directory and ensure that users cannot escape out of that directory. Use a combination of allowlist validation on the filename and operating system access controls to enforce this. For example, a user should not be able to access: `""../../sensitive_folder/sensitive.file""`.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T50/",Incomplete,testv,P524,Access Control Bypass Through User-Controlled Keys,8,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application is a generic server application (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Testing,T854,Verify that tapjacking and UI misrepresentation are prevented in Android,5,"In a class of attacks known as tapjacking, touchjacking, cloak & dagger, or UI misrepresentation in Android, an attacker displays a layer that fully or partially hides a lower hidden window using a malicious application. When a user types in a text field or clicks a button, they are actually interacting with a hidden application without being aware of it. Using the covered window behind the scene and a user's own actions, attackers can change an application's permissions, or perform a transaction.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/451
)

Use the following guidelines in Android for verifying that tapjacking and UI misrepresentation is prevented:

- Verify that `.setFilterTouchesWhenObscured()` is set to `true` on important [Views](https://developer.android.com/reference/android/view/View.html#setFilterTouchesWhenObscured(boolean)) with critical functions. 

__Note:__ 

- For a more advanced and elaborate test, you can create an application with an overlay window or toast that passes the taps through to a lower layer and test if the application accepts such taps. You will then be able to test the behavior in various versions of Android. 

- Set `android:clickable` and `android:focusable` to `false` for the overlay windows to pass the taps and touches.

- For more information, see [android:clickable](https://developer.android.com/reference/android/view/View.html#attr_android:clickable) in the _View_ documentation for Android developers.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T854/",Incomplete,,P341,Tapjacking and UI Misrepresentation in Android,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Platform and Language > Platform/Operating System > Platform > Android AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Activities,T1915,Perform network vulnerability assessment,8,"Without proper network vulnerability assessment, many known network vulnerabilities such as unnecessary open ports, dangerous services, or improperly configured components may remain unnoticed unless a major exploit happens.

Use the following guidelines for establishing effective vulnerability assessment practices:

- Implement vulnerability scanning tools that are capable of constantly updating newly discovered vulnerabilities to be scanned
- Develop and document vulnerability scanning process and activities including but not limited to:
    - Criteria for selecting vulnerability scanning targets and frequencies
    - Identification of severity levels based on asset criticality
    - Vulnerabilities that require remediation
    - Functions, ports, protocols that should not be accessible to users or devices
    - Improperly configured or incorrectly operating information flow control mechanisms
- Follow change management processes for vulnerability scanning activities
- Scan for vulnerabilities in the information system and hosted applications
- Analyze vulnerability scan reports and remove false positive vulnerability findings 
- Develop vulnerability reporting templates and share information obtained from the vulnerability scanning process with appropriate personnel 
- Correlate vulnerability scanning information to determine the presence of multi-vulnerability / multi-hop attack vectors.
- Prioritize vulnerability remediation activities and remediate legitimate vulnerabilities in accordance with risk assessment process
- Employ automated mechanisms to compare the results of vulnerability scans over time to determine trends in information system vulnerabilities

__Notes:__

- This countermeasure will not transition to 'Complete' unless its corresponding scan is completed with __zero 'High' and zero 'Critical' findings__.
- In addition, if this task is transitioned to 'Complete', it will __reopen if a scan has not been run with its results imported into SD Elements within its predefined time threshold__.

### China Cybersecurity Law (Article 21) – Multi-Level Protection Scheme (MLPS)

The *”Multi-level Protection Scheme (MLPS)”*, a supporting regulation to Article 21 of the Chinese cybersecurity framework, requires all network operators to perform a maturity assessment to classify the security of networks and implement technical measures to ensure the network is free from interference, damage, or unauthorized access. 

Network Operators refer to owners and administrators of networks and network service providers. The compliance procedure for multi-level protection is based on five protection levels – each level has its own general and extended requirements. 

**Follow these guidelines to perform a multi-level maturity assessment and achieve compliance with MLPS**

1. Specify the grading method and process for cybersecurity multi-level protection. Generate a systems inventory, define boundaries and grade all internal systems based on business importance, data type, and data volume, among others.

2. Conduct a self-assessment to determine which of the five protection levels the systems fall into and the security control measures that need to be adhered to. For Level 2 or above, consult with a qualified external expert to conduct an additional verification. If the expert finds unfulfilled items, take remedial action by implementing technical measures, improving management policies, and so on.

3. Submit grading documentation, assessment results, external expert reviews, and approval from authorities (where applicable), to an independent expert recognized by the MLPS for examination and verification. For Level 2 or above, file a record with the local Ministry of Public Security (MPS) within 10 working days of the review to obtain the filing certification. This marks the completion of the grading process.

4. Ensure continuous compliance with MLPS by conducting periodic reviews of systems and applications. Level 2 networks need to be reassessed every two years, Level 3 annually, Level 4 every 6 months and Level 5 based on the time period selected by the local regulatory ministry.

For more information, refer to the [KPMG guide on MLPS 2.0] (https://assets.kpmg/content/dam/kpmg/cn/pdf/en/2019/05/mlps-insights-strategies.pdf).

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1915/",Incomplete,,P1438,Lack of network vulnerability assessment,8,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• NOT Critical (Hidden Answer) AND
• NOT High (Hidden Answer) AND
• NOT Medium (Hidden Answer) AND
• NOT Low (Hidden Answer) AND
• NOT Very Low (Hidden Answer) AND
• NOT Unclassified (Hidden Answer) AND
• Application General > Context and Characteristics > Application's Context and Characteristics > Include general countermeasures in the Activity phase (process engineering tasks) in this project AND
• New transactions / use cases (Hidden Answer)"
Development,T162,Validate pathname before retrieving local resources,5,"Many file operations are intended to take place within a restricted directory. By using special elements such as "".."" and ""/"" separators, attackers can escape outside of the restricted location to access files or directories that are elsewhere on the system. This is called ""path traversal"".

**Relative path traversal** uses relative path names, such as ""../"", which in most modern operating systems is interpreted as the parent directory of the current location. **Absolute path traversal** uses absolute pathnames, such as ""/usr/local/bin"", which may be useful in accessing unexpected files.

Also, in many programming languages, the injection of a null byte (the 0 or NUL) may allow an attacker to truncate a generated filename to widen the scope of an attack. For example, the software may add "".txt"" to any pathname to limit the attacker to text files, but a null injection may remove this restriction.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/22
) - http://cwe.mitre.org/data/definitions/932
)

When attempting to retrieve a local resource based on a user input, validate the pathname to ensure that the resulting resource is within the intended workspace.

This validation is most commonly essential when the application receives a remote message/request that can contain references to a local resource, such as a local file or image that will be shown to the user. A remote attacker might be able to control the resource location and cause the application to retrieve and/or execute potentially unsafe resources from outside the user's authorized territory.

A recommended approach is to wrap all access points to local resources in the application with a security control function that calculates the final location of the resource by resolving all the relative paths. Then validate that the final location of the resource falls within the approved white-listed locations within the workspace of the program. See the How-to's section for more details.

__Note:__

The temporary directory of the system might be shared between several programs. Due to easy and unrestricted access by other applications, access to this directory must be prohibited, or the workspace must be restricted to a hardened sub-directory that limits access permissions to just your application.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T162/",Incomplete,,P116,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• The application is a generic server application (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Requirements,T5,Use minimum standards for passwords,5,"The application does not enforce creating passwords with enough complexity, increasing the chance of a brute-force attack. These attacks use trial and error to guess account passwords and take less effort for simple passwords.

It is mandatory that users have strong passwords because an authentication feature is only as strong as its credentials.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/521
)

During user registration and password resets, ensure that __passwords meet the minimum standards__. These standards are generally outlined in an enterprise security policy.

Additionally, compliance regulations, such as PCI-DSS and PA-DSS, may require more specific password restrictions. The enterprise security policy must meet the minimum requirements of the relevant compliance drivers. See __Additional Requirements__ for more information about the minimum requirements of different regulations.

If your organization does not have a security policy about password requirements, refer to a standard such as the [SANS Password Policy](http://www.sans.org/security-resources/policies/Password_Policy.pdf) and the UK's Centre for the Protection of National Infrastructure (CPNI) guide on [simplifying password management](https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/458857/Password_guidance_-_simplifying_your_approach.pdf).

These standards generally include a combination of the following:

- Requiring a minimum __length__ for passwords.
    - User-selected passwords are usually more predictable than randomly-selected ones, so it's better to use more characters for them. NIST [specifies](https://pages.nist.gov/800-63-3/sp800-63b.html) that passwords should be at least 8 characters for user-selected values, and 6 characters for randomly-selected ones. There is no consensus on limiting the maximum password length to any specific number but it is plausible to target a number that is large enough to give the users the required flexibility for picking reasonably long and secure passphrases, and small enough to avoid exhausting system resources (or potentially facilitating DOS attacks). For example, ASVS [recommends](https://github.com/OWASP/ASVS/blob/v4.0.3/4.0/en/0x11-V2-Authentication.md) using a max password length of 128 characters.
- Requiring a minimum password __complexity__.
    - Enforce at least one numerical, one upper case, one lower case, and if required one special character.
    - Highly complex passwords are unnecessary if other protections, such as secure storage and protective monitoring (account lockout, throttling, etc.), exist.

- Enforcing password __expiration__.
    - The user will be asked to pick a new password after a predetermined period.
    - If there is no regulatory obligation for this requirement, some standards do not recommend it as it increases the burden on users and discourages them from selecting effective passwords.

- Restricting the use of __previous passwords__.
    - Compare the new password against 3 to 5 old (stored) passwords.
    - If there is no regulatory obligation, some standards recommend a password change only if there is an indication or suspicion of compromise.

- Restricting the use of __dictionary words__ for passwords.
    - This includes words similar to dictionary words.

- Checking passwords against __known common weak password databases__.
    - These lists include passwords that meet the minimum length and character requirements, but are common and predictable, such as ""P@SSw0rd"".

- Restricting the use of __context-specific words__ such as usernames or service names.

For more information, refer to [NIST 800-63-B](https://pages.nist.gov/800-63-3/sp800-63b.html#appA) and the UK's CPNI guide on [simplifying password management](https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/458857/Password_guidance_-_simplifying_your_approach.pdf).

### Prevent the use of pwned passwords

Pwned Passwords are hundreds of millions of passwords previously exposed in data breaches. Attackers often use such databases in their exploits. 

Detect the use of pwned password by using a service like Troy Hunt’s Have I Been Pwned (HIBP). 

Reference:
https://haveibeenpwned.com/Passwords

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T5/",Incomplete,,P408,Password Requirements Are Weak,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Features and Functions > Authentication > Authentication Features > Authentication Method > Uses passwords AND
• NOT Application General > Components > Components In Development > Mobile app AND
• Changes to authentication (Hidden Answer)"
Activities,T1383,"Separate development, test, and operational environments",9,"Using the same environment for software in production, development and testing cause security issues such as accessing sensitive data in production, debugging and editing data in development and testing and other unauthorized accesses. Also, unwanted changes and mistakes can cause damages to the system that can affect the software in production.

Follow these guidelines to segregate development environments:

1. Establish two or more environments (e.g., dedicated networks) in which development and testing activities can be performed separately.
2. Isolate the development and test environments from production environments, and from each other by hosting development and test systems on a separate, standalone network, or segregating the network using a virtual local area network (VLAN) and a firewall.
3. Protect source code used in development environments by employing malware detection and protection mechanisms.
4. Remove all unnecessary sensitive information (e.g., authentication details, developer comments in HTML or JavaScript or sensitive information about the organization) before deploying source code on the production environment.
5. Use access controls to prevent development staff from making unauthorized changes to production environments.
6. Applying strict version control over development software by using configuration management, recording access in a log, and archiving old versions of software regularly.
7. Use filtering or blocking methods to prevent malicious mobile code from being downloaded into development environments.
8. Use integrity-checking software and configuration management tools to protect source code in development environments (including software under development, business information used in the development process, and important system documentation).
9. If access to externally-generated application source code is not possible, maintain a copy of the code in [escrow](/library/glossary/G99/) by a trusted external party. Verify with the third party and software supplier that the code is checked regularly to ensure it is up-to-date and works correctly.
10. Provide dedicated development endpoints on non-production networks for implementing all development-related countermeasures, and provide separate endpoints on production networks for typical enterprise tasks.
11. Prevent differences between environments. If needed, document the difference between the development/test environment and production environment to ease the release deployment process.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1383/",Complete,,P1191,Deploying software in production on the same environment as development and testing,9,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• NOT Critical (Hidden Answer) AND
• NOT High (Hidden Answer) AND
• NOT Medium (Hidden Answer) AND
• NOT Low (Hidden Answer) AND
• NOT Very Low (Hidden Answer) AND
• NOT Unclassified (Hidden Answer) AND
• Changes to processes/activities (Hidden Answer) AND
• Application General > Context and Characteristics > Application's Context and Characteristics > Include general countermeasures in the Activity phase (process engineering tasks) in this project"
Testing,T241,Verify that third party libraries use secure settings and the latest patches,10,"An entire system can become vulnerable under the following conditions:

- Using software, modules, or libraries with known vulnerabilities.
- Neglecting to patch third party libraries or software.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/937
) - http://cwe.mitre.org/data/definitions/1035
) - http://cwe.mitre.org/data/definitions/1395
)

Complete the following steps to ensure that there are no outstanding security patches for third party libraries, and that the libraries and tools are configured for the most secure settings:

1. Obtain a list of all third party libraries used by the application, including version numbers.
    - If you are not familiar with the code structure, you might need to ask a developer to compile this list for you.

2. Research vendor pages for the third party libraries to see if there are any outstanding security vulnerabilities.

    This test __fails__ if there are outstanding security vulnerabilities without any workarounds.

3.  Research vendor pages for the most secure settings of the libraries, or any weaknesses reported caused by misconfiguration of the tools/software.
    - Check the system settings.

    This test __fails__ if they are different from recommended settings.

__Note__: If vulnerability information is unavailable from the vendor, consider using a third party service such as the Common Vulnerability Exposures (CVE) database to research if there are known vulnerabilities for the third party libraries. The following sources can be used to locate security advisories and details about required patch levels for most commonly available products/libraries:

- [Security Focus Vulnerability Database](http://www.securityfocus.com/vulnerabilities) (where advisories are categorized by vendor > Product > Version)
- [National Vulnerability Database (NVD)](http://web.nvd.nist.gov/view/vuln/search).
- [Common Vulnerability Enumerator (by MITRE Foundation)](http://cve.mitre.org/cve/).

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T241/",Incomplete,Test:TRH,P728,Insufficient patching or use of insecure third party software/libraries,7,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Changes to servers/frameworks and/or configuration (Hidden Answer) AND
• This is a software project (Hidden Answer)"
