Vulnerability ID,Severity,Package name,Package version,Package type,Package path,Image,OS Name,CVSS version,CVSS score,CVSS vector,Vuln link,Vuln Publish date,Vuln Fix date,Fix version,Public Exploit,K8S cluster name,K8S namespace name,K8S workload type,K8S workload name,K8S container name,Image ID,K8S POD count,Package suggested fix
CVE-2020-14040,High,golang.org/x/text,v0.3.2,golang,/opt/draios/lib/comp_modules/kube-bench/kube-bench,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,https://nvd.nist.gov/vuln/detail/CVE-2020-14040,2020-06-16,2020-06-16,v0.3.3,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,v0.3.3
CVE-2022-25857,High,org.yaml:snakeyaml,1.26,java,/opt/draios/share/sdjagent.jar,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,https://nvd.nist.gov/vuln/detail/CVE-2022-25857,2022-04-26,2022-08-27,1.31,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,1.31
CVE-2022-42003,High,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,java,/opt/draios/share/sdjagent.jar,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,https://nvd.nist.gov/vuln/detail/CVE-2022-42003,2022-09-06,,2.14.0-rc1,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,2.13.4
CVE-2022-42004,High,com.fasterxml.jackson.core:jackson-databind,2.12.6.1,java,/opt/draios/share/sdjagent.jar,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,https://nvd.nist.gov/vuln/detail/CVE-2022-42004,2022-08-24,2022-09-04,2.13.4,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,2.13.4
CVE-2022-2526,High,systemd-libs,239,os,,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2022-2526,2018-12-07,2019-01-12,0:239-58.el8_6.4,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,0:239-58.el8_6.4
CVE-2022-40674,High,expat,2.2.5,os,,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,9.8,AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2022-40674,2022-08-18,,0:2.2.5-8.el8_6.3,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,0:2.2.5-8.el8_6.3
CVE-2022-0391,Medium,platform-python,3.6.8,os,,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,5.3,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,https://access.redhat.com/security/cve/CVE-2022-0391,2021-04-18,2021-05-03,,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,0:3.6.8-47.el8_6
CVE-2022-0391,Medium,python3-libs,3.6.8,os,,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,5.3,AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,https://access.redhat.com/security/cve/CVE-2022-0391,2021-04-18,2021-05-03,,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,0:3.6.8-47.el8_6
CVE-2021-39537,Medium,ncurses-base,6.1,os,,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,5.5,AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2021-39537,2020-08-04,,,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,
CVE-2021-39537,Medium,ncurses-libs,6.1,os,,quay.io/sysdig/agent-slim:12.8.1,redhat 8.6,3.1,5.5,AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2021-39537,2020-08-04,,,false,test.k8s.testingcluster.com,sysdig-agent,daemonset,sysdig-agent,sysdig,sha256:bd3e27080fb6e77f62114060c4da3c2629c3bf30e37204b3b0cddbb3c974c95e,1,
