"Plugin","Plugin Name","Family","Severity","IP Address","Protocol","Port","Exploit?","Repository","MAC Address","DNS Name","NetBIOS Name","Plugin Output","First Discovered","Last Observed","Exploit Frameworks","Recast Risk Comment","Accept Risk Comment","Agent ID","Host ID","Synopsis","Description","Solution","See Also","Risk Factor","STIG Severity","Vulnerability Priority Rating","CVSS V2 Base Score","CVSS V3 Base Score","CVSS V2 Temporal Score","CVSS V3 Temporal Score","CVSS V2 Vector","CVSS V3 Vector","CPE","CVE","BID","Cross References","Vuln Publication Date","Patch Publication Date","Plugin Publication Date","Plugin Modification Date","Exploit Ease","Check Type","Version"
"50686","IP Forwarding Enabled","Firewalls","Medium","10.238.64.25","TCP","0","No","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: IP forwarding appears to be enabled on the remote host.

 Detected local MAC Address        : 00163ee5dfbd
 Response from local MAC Address   : 00163ee5dfbd

 Detected Gateway MAC Address      : 00163e39abad
 Response from Gateway MAC Address : 00163e39abad","Oct 23, 2019 21:09:34 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote host has IP forwarding enabled.","The remote host has IP forwarding enabled. An attacker can exploit this to route packets through the host and potentially bypass some firewalls / routers / NAC filtering.

Unless the remote host is a router, it is recommended that you disable IP forwarding.","On Linux, you can disable IP forwarding by doing :

echo 0 > /proc/sys/net/ipv4/ip_forward

On Windows, set the key 'IPEnableRouter' to 0 under

HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters

On Mac OS X, you can disable IP forwarding by executing the command :

sysctl -w net.inet.ip.forwarding=0

For other systems, check with your vendor.","","Medium","","4.0","5.8","6.5","","","AV:A/AC:L/Au:N/C:P/I:P/A:P","AV:A/AC:L/PR:L/UI:N/S:C/C:L/I:L/A:L","","CVE-1999-0511","","","Jan 1, 1997 12:00:00 UTC","N/A","Nov 23, 2010 12:00:00 UTC","Dec 29, 2021 12:00:00 UTC","","remote","1.15"
"122500","Ubuntu 16.04 LTS / 18.04 LTS / 18.10 : OpenSSL vulnerability (USN-3899-1)","Ubuntu Local Security Checks","Medium","10.238.64.25","TCP","0","No","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: 
  - Installed package : libssl1.0.0_1.0.2n-1ubuntu5.2
    Fixed package     : libssl1.0.0_1.0.2n-1ubuntu5.3","Oct 26, 2019 16:06:25 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote Ubuntu host is missing a security-related patch.","Juraj Somorovsky, Robert Merget, and Nimrod Aviram discovered that certain applications incorrectly used OpenSSL and could be exposed to a padding oracle attack. A remote attacker could possibly use this issue to decrypt data.

Note that Tenable Network Security has extracted the preceding description block directly from the Ubuntu security advisory. Tenable has attempted to automatically clean and format it as much as possible without introducing additional issues.","Update the affected libssl1.0.0 package.","https://usn.ubuntu.com/3899-1/","Medium","","5.1","4.3","5.9","3.2","5.2","AV:N/AC:M/Au:N/C:P/I:N/A:N/E:U/RL:OF/RC:C","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C","p-cpe:/a:canonical:ubuntu_linux:libssl1.0.0
cpe:/o:canonical:ubuntu_linux:16.04
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.10","CVE-2019-1559","","USN #3899-1,CEA-ID #CEA-2021-0004","Feb 27, 2019 12:00:00 UTC","Feb 27, 2019 12:00:00 UTC","Feb 28, 2019 12:00:00 UTC","Jan 12, 2023 12:00:00 UTC","No known exploits are available","local","1.8"
"122610","Ubuntu 14.04 LTS / 16.04 LTS / 18.04 LTS / 18.10 : openssh vulnerability (USN-3885-2)","Ubuntu Local Security Checks","Medium","10.238.64.25","TCP","0","Yes","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: 
  - Installed package : openssh-client_1:7.6p1-4ubuntu0.2
    Fixed package     : openssh-client_1:7.6p1-4ubuntu0.3","Oct 26, 2019 16:06:25 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote Ubuntu host is missing a security-related patch.","USN-3885-1 fixed vulnerabilities in OpenSSH. It was discovered that the fix for CVE-2019-6111 turned out to be incomplete. This update fixes the problem.

Original advisory details :

Harry Sintonen discovered multiple issues in the OpenSSH scp utility.
If a user or automated system were tricked into connecting to an untrusted server, a remote attacker could possibly use these issues to write to arbitrary files, change directory permissions, and spoof client output.

Note that Tenable Network Security has extracted the preceding description block directly from the Ubuntu security advisory. Tenable has attempted to automatically clean and format it as much as possible without introducing additional issues.","Update the affected openssh-client package.","https://usn.ubuntu.com/3885-2/","Medium","","6.1","5.8","5.9","4.5","5.3","AV:N/AC:M/Au:N/C:N/I:P/A:P/E:POC/RL:OF/RC:C","AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N/E:P/RL:O/RC:C","p-cpe:/a:canonical:ubuntu_linux:openssh-client
cpe:/o:canonical:ubuntu_linux:14.04
cpe:/o:canonical:ubuntu_linux:16.04
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.10","CVE-2019-6111","","USN #3885-2","Jan 31, 2019 12:00:00 UTC","Mar 4, 2019 12:00:00 UTC","Mar 5, 2019 12:00:00 UTC","Jan 12, 2023 12:00:00 UTC","Exploits are available","local","1.4"
"122946","Ubuntu 16.04 LTS / 18.04 LTS / 18.10 : file vulnerabilities (USN-3911-1)","Ubuntu Local Security Checks","Medium","10.238.64.25","TCP","0","No","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: 
  - Installed package : file_1:5.32-2ubuntu0.1
    Fixed package     : file_1:5.32-2ubuntu0.2

  - Installed package : libmagic1_1:5.32-2ubuntu0.1
    Fixed package     : libmagic1_1:5.32-2ubuntu0.2","Oct 26, 2019 16:06:25 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote Ubuntu host is missing one or more security-related patches.","It was discovered that file incorrectly handled certain malformed ELF files. An attacker could use this issue to cause a denial of service, or possibly execute arbitrary code.

Note that Tenable Network Security has extracted the preceding description block directly from the Ubuntu security advisory. Tenable has attempted to automatically clean and format it as much as possible without introducing additional issues.","Update the affected file and / or libmagic1 packages.","https://usn.ubuntu.com/3911-1/","Medium","","6.7","6.8","8.8","5.0","7.7","AV:N/AC:M/Au:N/C:P/I:P/A:P/E:U/RL:OF/RC:C","AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C","p-cpe:/a:canonical:ubuntu_linux:file
p-cpe:/a:canonical:ubuntu_linux:libmagic1
cpe:/o:canonical:ubuntu_linux:16.04
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.10","CVE-2019-8906,CVE-2019-8907,CVE-2019-8905,CVE-2019-8904","","USN #3911-1","Feb 18, 2019 12:00:00 UTC","Mar 18, 2019 12:00:00 UTC","Mar 19, 2019 12:00:00 UTC","Jan 12, 2023 12:00:00 UTC","No known exploits are available","local","1.4"
"123751","Ubuntu 14.04 LTS / 16.04 LTS / 18.04 LTS / 18.10 : busybox vulnerabilities (USN-3935-1)","Ubuntu Local Security Checks","High","10.238.64.25","TCP","0","Yes","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: 
  - Installed package : busybox-initramfs_1:1.27.2-2ubuntu3
    Fixed package     : busybox-initramfs_1:1.27.2-2ubuntu3.2","Oct 26, 2019 16:06:25 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote Ubuntu host is missing one or more security-related patches.","Tyler Hicks discovered that BusyBox incorrectly handled symlinks inside tar archives. If a user or automated system were tricked into processing a specially crafted tar archive, a remote attacker could overwrite arbitrary files outside of the current directory. This issue only affected Ubuntu 14.04 LTS and Ubuntu 16.04 LTS. (CVE-2011-5325)

Mathias Krause discovered that BusyBox incorrectly handled kernel module loading restrictions. A local attacker could possibly use this issue to bypass intended restrictions. This issue only affected Ubuntu 14.04 LTS. (CVE-2014-9645)

It was discovered that BusyBox incorrectly handled certain ZIP archives. If a user or automated system were tricked into processing a specially crafted ZIP archive, a remote attacker could cause BusyBox to crash, leading to a denial of service. This issue only affected Ubuntu 14.04 LTS and Ubuntu 16.04 LTS. (CVE-2015-9261)

Nico Golde discovered that the BusyBox DHCP client incorrectly handled certain malformed domain names. A remote attacker could possibly use this issue to cause the DHCP client to crash, leading to a denial of service. This issue only affected Ubuntu 14.04 LTS and Ubuntu 16.04 LTS. (CVE-2016-2147)

Nico Golde discovered that the BusyBox DHCP client incorrectly handled certain 6RD options. A remote attacker could use this issue to cause the DHCP client to crash, leading to a denial of service, or possibly execute arbitrary code. This issue only affected Ubuntu 14.04 LTS and Ubuntu 16.04 LTS. (CVE-2016-2148)

It was discovered that BusyBox incorrectly handled certain bzip2 archives. If a user or automated system were tricked into processing a specially crafted bzip2 archive, a remote attacker could cause BusyBox to crash, leading to a denial of service, or possibly execute arbitrary code. This issue only affected Ubuntu 14.04 LTS and Ubuntu 16.04 LTS. (CVE-2017-15873)

It was discovered that BusyBox incorrectly handled tab completion. A local attacker could possibly use this issue to execute arbitrary code. This issue only affected Ubuntu 14.04 LTS and Ubuntu 16.04 LTS.
(CVE-2017-16544)

It was discovered that the BusyBox wget utility incorrectly handled certain responses. A remote attacker could use this issue to cause BusyBox to crash, resulting in a denial of service, or possibly execute arbitrary code. (CVE-2018-1000517)

It was discovered that the BusyBox DHCP utilities incorrectly handled certain memory operations. A remote attacker could possibly use this issue to access sensitive information. (CVE-2018-20679, CVE-2019-5747).

Note that Tenable Network Security has extracted the preceding description block directly from the Ubuntu security advisory. Tenable has attempted to automatically clean and format it as much as possible without introducing additional issues.","Update the affected packages.","https://usn.ubuntu.com/3935-1/","High","","6.7","7.5","9.8","5.9","8.8","AV:N/AC:L/Au:N/C:P/I:P/A:P/E:POC/RL:OF/RC:C","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C","p-cpe:/a:canonical:ubuntu_linux:busybox
p-cpe:/a:canonical:ubuntu_linux:busybox-initramfs
p-cpe:/a:canonical:ubuntu_linux:busybox-static
p-cpe:/a:canonical:ubuntu_linux:udhcpc
p-cpe:/a:canonical:ubuntu_linux:udhcpd
cpe:/o:canonical:ubuntu_linux:14.04
cpe:/o:canonical:ubuntu_linux:16.04
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.10","CVE-2014-9645,CVE-2016-2147,CVE-2016-2148,CVE-2017-15873,CVE-2017-16544,CVE-2011-5325,CVE-2015-9261,CVE-2018-1000517,CVE-2018-20679,CVE-2019-5747","","USN #3935-1","Feb 9, 2017 12:00:00 UTC","Apr 3, 2019 12:00:00 UTC","Apr 4, 2019 12:00:00 UTC","Jan 12, 2023 12:00:00 UTC","Exploits are available","local","1.4"
"123930","Ubuntu 14.04 LTS / 16.04 LTS / 18.04 LTS / 18.10 : systemd vulnerability (USN-3938-1)","Ubuntu Local Security Checks","Medium","10.238.64.25","TCP","0","Yes","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: 
  - Installed package : libpam-systemd_237-3ubuntu10.13
    Fixed package     : libpam-systemd_237-3ubuntu10.19","Oct 26, 2019 16:06:25 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote Ubuntu host is missing a security-related patch.","Jann Horn discovered that pam_systemd created logind sessions using some parameters from the environment. A local attacker could exploit this in order to spoof the active session and gain additional PolicyKit privileges.

Note that Tenable Network Security has extracted the preceding description block directly from the Ubuntu security advisory. Tenable has attempted to automatically clean and format it as much as possible without introducing additional issues.","Update the affected libpam-systemd package.","https://usn.ubuntu.com/3938-1/","Medium","","6.7","4.4","7.0","3.4","6.3","AV:L/AC:M/Au:N/C:P/I:P/A:P/E:POC/RL:OF/RC:C","AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C","p-cpe:/a:canonical:ubuntu_linux:libpam-systemd
cpe:/o:canonical:ubuntu_linux:14.04
cpe:/o:canonical:ubuntu_linux:16.04
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.10","CVE-2019-3842","","USN #3938-1","Apr 9, 2019 12:00:00 UTC","Apr 8, 2019 12:00:00 UTC","Apr 9, 2019 12:00:00 UTC","Jan 12, 2023 12:00:00 UTC","Exploits are available","local","1.5"
"123973","Ubuntu 14.04 LTS / 16.04 LTS / 18.04 LTS / 18.10 : wget vulnerabilities (USN-3943-1)","Ubuntu Local Security Checks","High","10.238.64.25","TCP","0","No","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: 
  - Installed package : wget_1.19.4-1ubuntu2.1
    Fixed package     : wget_1.19.4-1ubuntu2.2","Oct 26, 2019 16:06:25 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote Ubuntu host is missing a security-related patch.","It was discovered that Wget incorrectly handled certain inputs. An attacker could possibly use this issue to access sensitive information. This issue only affected Ubuntu 18.04 LTS and Ubuntu 18.10. (CVE-2018-20483)

Kusano Kazuhiko discovered that Wget incorrectly handled certain inputs. An attacker could possibly use this issue to execute arbitrary code. (CVE-2019-5953).

Note that Tenable Network Security has extracted the preceding description block directly from the Ubuntu security advisory. Tenable has attempted to automatically clean and format it as much as possible without introducing additional issues.","Update the affected wget package.","https://usn.ubuntu.com/3943-1/","High","","6.7","7.5","9.8","5.5","8.5","AV:N/AC:L/Au:N/C:P/I:P/A:P/E:U/RL:OF/RC:C","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C","p-cpe:/a:canonical:ubuntu_linux:wget
cpe:/o:canonical:ubuntu_linux:14.04
cpe:/o:canonical:ubuntu_linux:16.04
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.10","CVE-2018-20483,CVE-2019-5953","","USN #3943-1","Dec 26, 2018 12:00:00 UTC","Apr 8, 2019 12:00:00 UTC","Apr 10, 2019 12:00:00 UTC","Jan 12, 2023 12:00:00 UTC","No known exploits are available","local","1.5"
"125338","Ubuntu 16.04 LTS / 18.04 LTS / 18.10 / 19.04 : urllib3 vulnerabilities (USN-3990-1)","Ubuntu Local Security Checks","Medium","10.238.64.25","TCP","0","No","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: 
  - Installed package : python3-urllib3_1.22-1
    Fixed package     : python3-urllib3_1.22-1ubuntu0.18.04.1","Oct 26, 2019 16:06:25 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote Ubuntu host is missing one or more security-related patches.","It was discovered that urllib3 incorrectly removed Authorization HTTP headers when handled cross-origin redirects. This could result in credentials being sent to unintended hosts. This issue only affected Ubuntu 16.04 LTS, Ubuntu 18.04 LTS and Ubuntu 18.10. (CVE-2018-20060)

It was discovered that urllib3 incorrectly stripped certain characters from requests. A remote attacker could use this issue to perform CRLF injection. (CVE-2019-11236)

It was discovered that urllib3 incorrectly handled situations where a desired set of CA certificates were specified. This could result in certificates being accepted by the default CA certificates contrary to expectatons. This issue only affected Ubuntu 18.04 LTS, Ubuntu 18.10, and Ubuntu 19.04. (CVE-2019-11324).

Note that Tenable Network Security has extracted the preceding description block directly from the Ubuntu security advisory. Tenable has attempted to automatically clean and format it as much as possible without introducing additional issues.","Update the affected python-urllib3 and / or python3-urllib3 packages.","https://usn.ubuntu.com/3990-1/","Medium","","6.7","5.0","9.8","3.7","8.5","AV:N/AC:L/Au:N/C:N/I:P/A:N/E:U/RL:OF/RC:C","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C","p-cpe:/a:canonical:ubuntu_linux:python-urllib3
p-cpe:/a:canonical:ubuntu_linux:python3-urllib3
cpe:/o:canonical:ubuntu_linux:16.04
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.10
cpe:/o:canonical:ubuntu_linux:19.04","CVE-2018-20060,CVE-2019-11236,CVE-2019-11324","","USN #3990-1","Dec 11, 2018 12:00:00 UTC","May 21, 2019 12:00:00 UTC","May 22, 2019 12:00:00 UTC","Jan 12, 2023 12:00:00 UTC","No known exploits are available","local","1.6"
"125622","Ubuntu 16.04 LTS / 18.04 LTS / 18.10 / 19.04 : GnuTLS vulnerabilities (USN-3999-1)","Ubuntu Local Security Checks","Medium","10.238.64.25","TCP","0","No","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: 
  - Installed package : libgnutls30_3.5.18-1ubuntu1
    Fixed package     : libgnutls30_3.5.18-1ubuntu1.1","Oct 26, 2019 16:06:25 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote Ubuntu host is missing a security-related patch.","Eyal Ronen, Kenneth G. Paterson, and Adi Shamir discovered that GnuTLS was vulnerable to a timing side-channel attack known as the 'Lucky Thirteen' issue. A remote attacker could possibly use this issue to perform plaintext-recovery attacks via analysis of timing data. This issue only affected Ubuntu 16.04 LTS and Ubuntu 18.04 LTS.
(CVE-2018-10844, CVE-2018-10845, CVE-2018-10846)

Tavis Ormandy discovered that GnuTLS incorrectly handled memory when verifying certain X.509 certificates. A remote attacker could use this issue to cause GnuTLS to crash, resulting in a denial of service, or possibly execute arbitrary code. This issue only affected Ubuntu 18.04 LTS, Ubuntu 18.10, and Ubuntu 19.04. (CVE-2019-3829)

It was discovered that GnuTLS incorrectly handled certain post-handshake messages. A remote attacker could use this issue to cause GnuTLS to crash, resulting in a denial of service, or possibly execute arbitrary code. This issue only affected Ubuntu 18.10 and Ubuntu 19.04. (CVE-2019-3836).

Note that Tenable Network Security has extracted the preceding description block directly from the Ubuntu security advisory. Tenable has attempted to automatically clean and format it as much as possible without introducing additional issues.","Update the affected libgnutls30 package.","https://usn.ubuntu.com/3999-1/","Medium","","5.2","4.3","5.9","3.2","5.2","AV:N/AC:M/Au:N/C:P/I:N/A:N/E:U/RL:OF/RC:C","AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C","p-cpe:/a:canonical:ubuntu_linux:libgnutls30
cpe:/o:canonical:ubuntu_linux:16.04
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.10
cpe:/o:canonical:ubuntu_linux:19.04","CVE-2018-10844,CVE-2018-10845,CVE-2018-10846,CVE-2019-3829,CVE-2019-3836","","USN #3999-1","Aug 22, 2018 12:00:00 UTC","May 30, 2019 12:00:00 UTC","May 31, 2019 12:00:00 UTC","Jan 12, 2023 12:00:00 UTC","No known exploits are available","local","1.5"
"125624","Ubuntu 16.04 LTS / 18.04 LTS / 18.10 / 19.04 : libseccomp vulnerability (USN-4001-1)","Ubuntu Local Security Checks","High","10.238.64.25","TCP","0","No","Live","00:16:3e:39:ab:ad","target-u1804.lxd","","Plugin Output: 
  - Installed package : libseccomp2_2.3.1-2.1ubuntu4
    Fixed package     : libseccomp2_2.4.1-0ubuntu0.18.04.2","Oct 26, 2019 16:06:25 UTC","Apr 1, 2023 16:18:47 UTC","","","","","","The remote Ubuntu host is missing a security-related patch.","Jann Horn discovered that libseccomp did not correctly generate 64-bit syscall argument comparisons with arithmetic operators (LT, GT, LE, GE). An attacker could use this to bypass intended access restrictions for argument-filtered system calls.

Note that Tenable Network Security has extracted the preceding description block directly from the Ubuntu security advisory. Tenable has attempted to automatically clean and format it as much as possible without introducing additional issues.","Update the affected libseccomp2 package.","https://usn.ubuntu.com/4001-1/","High","","5.9","7.5","9.8","5.5","8.5","AV:N/AC:L/Au:N/C:P/I:P/A:P/E:U/RL:OF/RC:C","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C","p-cpe:/a:canonical:ubuntu_linux:libseccomp2
cpe:/o:canonical:ubuntu_linux:16.04
cpe:/o:canonical:ubuntu_linux:18.04:-:lts
cpe:/o:canonical:ubuntu_linux:18.10
cpe:/o:canonical:ubuntu_linux:19.04","CVE-2019-9893","","USN #4001-1","Mar 21, 2019 12:00:00 UTC","May 30, 2019 12:00:00 UTC","May 31, 2019 12:00:00 UTC","Jan 12, 2023 12:00:00 UTC","No known exploits are available","local","1.4"
