Hostname,Distro,CVE ID,Compliance ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Vulnerability Tags,Description,Cause,Published,Services,Cluster,Vulnerability Link,Agentless
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,16,host_config,high,,,,,0.00,,,(CIS_Docker_v1.3.1 - 1.1.2) Only allow trusted users to control Docker daemon,"2 users in docker group: ubuntu,jenkins",,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,21,daemon_config,high,,,,,0.00,,,(CIS_Docker_v1.3.1 - 2.2) Restrict network traffic between containers,,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,28,daemon_config,high,,,,,0.00,,,(CIS_Docker_v1.3.1 - 2.9) Enable user namespace support,,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,211,daemon_config,high,,,,,0.00,,,(CIS_Docker_v1.3.1 - 2.12) Use authorization plugin,,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,224,daemon_config,high,,,,,0.00,,,(CIS_Docker_v1.3.1 - 2.14) Ensure containers are restricted from acquiring new privileges,,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,6112,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.1.2) Ensure /tmp is configured,The directory /tmp should be mounted. File: /proc/mounts,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,62210,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 2.2.10) Ensure HTTP server is not enabled,The service apache2.service should be disabled. Full path: /lib/systemd/system/apache2.service,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,62216,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 2.2.16) Ensure rsync service is not enabled,The service rsync.service should be disabled. Full path: /lib/systemd/system/rsync.service,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,6321,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 3.2.1) Ensure source routed packets are not accepted,Systemd service configuration net/ipv4/conf/default/accept_source_route is set to 1 but should be 0,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,6151,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.5.1) Ensure core dumps are restricted,Systemd service configuration fs/suid_dumpable is set to 2 but should be 0,,,,,false
